Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,25,PHW,C,80,48.5,20.0,39.5,.506,10.4,17.0,.613,25.7,2.4,1.5,50.4,MVP-2ASNBA1,chambwi01
2,Elgin Baylor,27,LAL,SF,48,44.4,14.2,33.1,.428,9.9,13.1,.754,18.6,4.6,3.2,38.3,MVP-4ASNBA1,bayloel01
3,Walt Bellamy,22,CHP,C,79,42.3,12.3,23.7,.519,6.9,10.8,.644,19.0,2.7,3.6,31.6,ROY-1AS,bellawa01
4,Bob Pettit,29,STL,PF,78,42.1,11.1,24.7,.450,8.9,11.6,.771,18.7,3.7,3.8,31.1,MVP-6ASNBA1,pettibo01
5,Oscar Robertson,23,CIN,PG,79,44.3,11.0,22.9,.478,8.9,11.0,.803,12.5,11.4,3.3,30.8,MVP-3ASNBA1,roberos01
6,Jerry West,23,LAL,PG,75,41.2,10.7,23.9,.445,9.5,12.3,.769,7.9,5.4,2.3,30.8,MVP-5ASNBA1,westje01
7,Richie Guerin,29,NYK,SG,78,42.9,10.8,24.3,.442,8.0,9.8,.820,6.4,6.9,3.8,29.5,MVP-7ASNBA2,gueriri01
8,Willie Naulls,27,NYK,SF,75,39.7,10.0,24.0,.415,5.1,6.1,.842,11.6,2.6,3.5,25.0,AS,naullwi01
9,Cliff Hagan,30,STL,SF,77,36.2,9.1,19.4,.470,4.7,5.7,.825,8.2,4.8,3.7,22.9,AS,hagancl01
10,Jack Twyman,27,CIN,SF,80,37.4,9.2,19.3,.479,4.4,5.4,.811,8.0,2.7,4.0,22.9,ASNBA2,twymaja01
11,Hal Greer,25,SYR,SG,71,38.1,9.1,20.3,.447,4.7,5.7,.819,7.4,4.4,3.5,22.8,AS,greerha01
12,Tom Heinsohn,27,BOS,PF,79,30.2,8.8,20.4,.429,4.5,5.5,.819,9.5,2.1,3.5,22.1,ASNBA2,heinsto01
13,Paul Arizin,33,PHW,SF,78,35.7,7.8,19.1,.410,6.2,7.7,.805,6.8,2.6,3.9,21.9,AS,arizipa01
14,Clyde Lovellette,32,STL,C,40,29.8,8.5,18.1,.471,3.9,4.7,.829,8.8,1.7,3.4,20.9,,lovelcl01
15,Bailey Howell,25,DET,SF,79,36.2,7.0,15.1,.464,5.9,7.7,.768,12.6,2.4,4.0,19.9,AS,howelba01
16,Wayne Embry,24,CIN,C,75,35.0,7.5,16.1,.466,4.7,6.9,.690,13.0,2.4,3.8,19.8,AS,embrywa01
17,Gene Shue,30,DET,PG,80,39.3,7.3,17.8,.408,4.5,5.6,.810,4.7,5.8,2.4,19.0,AS,shuege01
18,Bill Russell,27,BOS,C,76,45.2,7.6,16.6,.457,3.8,6.3,.595,23.6,4.5,2.7,18.9,MVP-1ASNBA2,russebi01
