Rk,Team,BAL,BOS,CHI,CIN,DET,LAL,NYK,PHI,SFW,STL
1,Baltimore Bullets,,1-8,3-6,3-6,2-7,2-7,2-7,1-8,2-7,4-5
2,Boston Celtics,8-1,,8-1,8-1,6-3,5-4,9-0,5-4,6-3,5-4
3,Chicago Bulls,6-3,1-8,,5-4,4-5,6-3,3-6,1-8,3-6,4-5
4,Cincinnati Royals,6-3,1-8,4-5,,7-2,3-6,6-3,1-8,5-4,6-3
5,Detroit Pistons,7-2,3-6,5-4,2-7,,5-4,4-5,0-9,2-7,2-7
6,Los Angeles Lakers,7-2,4-5,3-6,6-3,4-5,,4-5,1-8,3-6,4-5
7,New York Knicks,7-2,0-9,6-3,3-6,5-4,5-4,,1-8,5-4,4-5
8,Philadelphia 76ers,8-1,4-5,8-1,8-1,9-0,8-1,8-1,,7-2,8-1
9,San Francisco Warriors,7-2,3-6,6-3,4-5,7-2,6-3,4-5,2-7,,5-4
10,St. Louis Hawks,5-4,4-5,5-4,3-6,7-2,5-4,5-4,1-8,4-5,
