Rk,Team,BAL,BOS,CHI,CIN,DET,LAL,NYK,PHI,SDR,SEA,SFW,STL
1,Baltimore Bullets,,3-5,2-5,5-3,4-4,3-4,3-5,0-8,7-0,5-2,2-5,2-5
2,Boston Celtics,5-3,,5-2,3-5,6-2,4-3,6-2,4-4,7-0,6-1,4-3,4-3
3,Chicago Bulls,5-2,2-5,,5-2,3-4,1-7,2-5,1-6,4-4,3-5,2-6,1-7
4,Cincinnati Royals,3-5,5-3,2-5,,4-4,1-6,3-5,3-5,7-0,6-1,4-3,1-6
5,Detroit Pistons,4-4,2-6,4-3,4-4,,2-5,4-4,1-7,5-2,6-1,4-3,4-3
6,Los Angeles Lakers,4-3,3-4,7-1,6-1,5-2,,4-3,2-5,7-1,4-4,4-4,6-2
7,New York Knicks,5-3,2-6,5-2,5-3,4-4,3-4,,3-5,6-1,4-3,5-2,1-6
8,Philadelphia 76ers,8-0,4-4,6-1,5-3,7-1,5-2,5-3,,6-1,7-0,4-3,5-2
9,San Diego Rockets,0-7,0-7,4-4,0-7,2-5,1-7,1-6,1-6,,3-5,2-6,1-7
10,Seattle SuperSonics,2-5,1-6,5-3,1-6,1-6,4-4,3-4,0-7,5-3,,1-7,0-8
11,San Francisco Warriors,5-2,3-4,6-2,3-4,3-4,4-4,2-5,3-4,6-2,7-1,,1-7
12,St. Louis Hawks,5-2,3-4,7-1,6-1,3-4,2-6,6-1,2-5,7-1,8-0,7-1,
