Rk,Team,ATL,BAL,BOS,CHI,CIN,DET,LAL,MIL,NYK,PHI,PHO,SDR,SEA,SFW
1,Atlanta Hawks,,2-4,3-3,6-1,4-2,6-0,3-4,4-2,2-4,1-5,6-0,3-4,4-2,4-3
2,Baltimore Bullets,4-2,,5-2,6-0,4-3,7-0,3-3,5-1,3-4,2-4,6-0,5-1,4-2,3-3
3,Boston Celtics,3-3,2-5,,4-2,5-2,5-1,2-4,5-1,1-6,5-2,6-0,4-2,3-3,3-3
4,Chicago Bulls,1-6,0-6,2-4,,1-5,3-3,3-4,5-1,2-4,1-5,4-2,3-3,4-3,4-3
5,Cincinnati Royals,2-4,3-4,2-5,5-1,,3-4,2-4,5-1,4-2,3-4,4-2,2-4,3-3,3-3
6,Detroit Pistons,0-6,0-7,1-5,3-3,4-3,,3-3,2-4,3-4,3-4,4-2,3-3,4-2,2-4
7,Los Angeles Lakers,4-3,3-3,4-2,4-3,4-2,3-3,,5-1,5-1,1-5,6-0,7-0,5-1,4-3
8,Milwaukee Bucks,2-4,1-5,1-5,1-5,1-5,4-2,1-5,,0-6,0-6,6-2,4-2,3-5,3-3
9,New York Knicks,4-2,4-3,6-1,4-2,2-4,4-3,1-5,6-0,,4-3,5-1,3-3,6-0,5-1
10,Philadelphia 76ers,5-1,4-2,2-5,5-1,4-3,4-3,5-1,6-0,3-4,,5-1,4-2,6-0,2-4
11,Phoenix Suns,0-6,0-6,0-6,2-4,2-4,2-4,0-6,2-6,1-5,1-5,,1-7,3-3,2-4
12,San Diego Rockets,4-3,1-5,2-4,3-3,4-2,3-3,0-7,2-4,3-3,2-4,7-1,,3-3,3-3
13,Seattle SuperSonics,2-4,2-4,3-3,3-4,3-3,2-4,1-5,5-3,0-6,0-6,3-3,3-3,,3-4
14,San Francisco Warriors,3-4,3-3,3-3,3-4,3-3,4-2,3-4,3-3,1-5,4-2,4-2,3-3,4-3,
