Rk,Team,ATL,BAL,BOS,BUF,CHI,CIN,CLE,DET,LAL,MIL,NYK,PHI,PHO,POR,SDR,SEA,SFW
1,Atlanta Hawks,,3-3,2-4,3-1,1-4,2-4,4-0,0-5,3-2,1-4,3-3,4-2,1-4,2-2,2-3,3-2,2-3
2,Baltimore Bullets,3-3,,3-3,3-1,2-3,3-3,4-0,2-3,2-3,1-4,2-4,3-3,3-2,2-2,4-1,3-2,2-3
3,Boston Celtics,4-2,3-3,,4-0,4-1,4-2,3-1,2-3,3-2,0-5,0-6,4-2,2-3,2-2,3-2,3-2,3-2
4,Buffalo Braves,1-3,1-3,0-4,,0-4,0-4,5-7,1-5,2-2,0-4,2-2,0-4,1-3,6-6,1-3,1-3,1-3
5,Chicago Bulls,4-1,3-2,1-4,4-0,,4-0,4-0,3-3,2-4,1-5,3-2,3-2,3-3,3-1,6-0,3-2,4-2
6,Cincinnati Royals,4-2,3-3,2-4,4-0,0-4,,5-1,1-4,1-4,1-4,2-4,1-5,1-4,4-0,1-3,1-4,2-3
7,Cleveland Cavaliers,0-4,0-4,1-3,7-5,0-4,1-5,,2-2,0-4,0-4,0-4,1-3,0-4,2-10,0-4,0-4,1-3
8,Detroit Pistons,5-0,3-2,3-2,5-1,3-3,4-1,2-2,,2-3,1-5,2-3,2-3,2-4,3-1,4-2,3-1,1-4
9,Los Angeles Lakers,2-3,3-2,2-3,2-2,4-2,4-1,4-0,3-2,,1-4,3-2,3-2,2-4,4-0,3-3,4-2,4-2
10,Milwaukee Bucks,4-1,4-1,5-0,4-0,5-1,4-1,4-0,5-1,4-1,,1-4,4-1,4-2,3-1,4-1,5-1,6-0
11,New York Knicks,3-3,4-2,6-0,2-2,2-3,4-2,4-0,3-2,2-3,4-1,,2-4,4-1,3-1,4-1,2-3,3-2
12,Philadelphia 76ers,2-4,3-3,2-4,4-0,2-3,5-1,3-1,3-2,2-3,1-4,4-2,,3-2,4-0,3-2,3-2,3-2
13,Phoenix Suns,4-1,2-3,3-2,3-1,3-3,4-1,4-0,4-2,4-2,2-4,1-4,2-3,,4-0,2-4,3-2,3-2
14,Portland Trail Blazers,2-2,2-2,2-2,6-6,1-3,0-4,10-2,1-3,0-4,1-3,1-3,0-4,0-4,,0-4,2-4,1-3
15,San Diego Rockets,3-2,1-4,2-3,3-1,0-6,3-1,4-0,2-4,3-3,1-4,1-4,2-3,4-2,4-0,,5-1,2-4
16,Seattle SuperSonics,2-3,2-3,2-3,3-1,2-3,4-1,4-0,1-3,2-4,1-5,3-2,2-3,2-3,4-2,1-5,,3-3
17,San Francisco Warriors,3-2,3-2,2-3,3-1,2-4,3-2,3-1,4-1,2-4,0-6,2-3,2-3,2-3,3-1,4-2,3-3,
