Rk,Team,ATL,BAL,BOS,BUF,CHI,CIN,CLE,DET,GSW,HOU,LAL,MIL,NYK,PHI,PHO,POR,SEA
1,Atlanta Hawks,,2-4,0-4,4-2,0-5,3-3,4-2,3-2,3-2,1-4,0-5,2-3,3-1,3-3,3-2,4-0,1-4
2,Baltimore Bullets,4-2,,2-2,3-3,1-4,4-2,1-5,3-2,1-4,3-2,1-4,0-5,2-4,4-0,4-1,3-1,2-3
3,Boston Celtics,4-0,2-2,,6-0,3-2,4-2,5-1,5-0,2-3,5-0,1-4,2-3,3-3,6-0,2-3,4-0,2-3
4,Buffalo Braves,2-4,3-3,0-6,,1-3,3-3,4-2,2-4,1-3,0-4,0-4,0-4,1-5,3-3,0-4,2-4,0-4
5,Chicago Bulls,5-0,4-1,2-3,3-1,,3-1,4-0,5-1,3-3,5-1,1-3,2-4,3-2,4-1,5-1,6-0,2-3
6,Cincinnati Royals,3-3,2-4,2-4,3-3,1-3,,6-2,2-3,2-3,0-4,1-4,0-5,2-2,2-2,2-3,2-2,0-5
7,Cleveland Cavaliers,2-4,5-1,1-5,2-4,0-4,2-6,,1-3,0-4,2-2,1-3,0-4,1-5,2-4,0-4,4-2,0-4
8,Detroit Pistons,2-3,2-3,0-5,4-2,1-5,3-2,3-1,,0-5,3-3,1-4,1-5,1-4,1-4,2-4,2-2,0-4
9,Golden State Warriors,2-3,4-1,3-2,3-1,3-3,3-2,4-0,5-0,,5-1,1-5,2-2,2-3,4-1,2-3,4-2,4-2
10,Houston Rockets,4-1,2-3,0-5,4-0,1-5,4-0,2-2,3-3,1-5,,1-5,0-5,0-5,4-1,1-3,4-2,3-3
11,Los Angeles Lakers,5-0,4-1,4-1,4-0,3-1,4-1,3-1,4-1,5-1,5-1,,4-1,4-1,5-0,4-2,6-0,5-1
12,Milwaukee Bucks,3-2,5-0,3-2,4-0,4-2,5-0,4-0,5-1,2-2,5-0,1-4,,2-3,4-1,4-2,6-0,6-0
13,New York Knicks,1-3,4-2,3-3,5-1,2-3,2-2,5-1,4-1,3-2,5-0,1-4,3-2,,3-3,1-4,3-1,3-2
14,Philadelphia 76ers,3-3,0-4,0-6,3-3,1-4,2-2,4-2,4-1,1-4,1-4,0-5,1-4,3-3,,1-4,2-2,4-1
15,Phoenix Suns,2-3,1-4,3-2,4-0,1-5,3-2,4-0,4-2,3-2,3-1,2-4,2-4,4-1,4-1,,6-0,3-2
16,Portland Trail Blazers,0-4,1-3,0-4,4-2,0-6,2-2,2-4,2-2,2-4,2-4,0-6,0-6,1-3,2-2,0-6,,0-6
17,Seattle SuperSonics,4-1,3-2,3-2,4-0,3-2,5-0,4-0,4-0,2-4,3-3,1-5,0-6,2-3,1-4,2-3,6-0,
