Rk,Team,ATL,BAL,BOS,BUF,CHI,CLE,DET,GSW,HOU,KCO,LAL,MIL,NYK,PHI,PHO,POR,SEA
1,Atlanta Hawks,,3-4,1-5,5-1,2-2,3-4,2-2,1-3,4-4,2-2,3-1,1-3,3-3,6-0,3-1,4-0,3-1
2,Baltimore Bullets,4-3,,1-5,5-1,0-4,8-0,2-2,3-1,5-2,3-1,1-3,2-2,3-3,5-1,2-2,4-0,4-0
3,Boston Celtics,5-1,5-1,,7-0,3-1,5-1,3-1,3-1,5-1,3-1,4-0,2-2,4-4,7-0,4-0,4-0,4-0
4,Buffalo Braves,1-5,1-5,0-7,,2-2,1-5,1-3,0-4,1-5,1-3,0-4,0-4,1-6,7-1,1-3,2-2,2-2
5,Chicago Bulls,2-2,4-0,1-3,2-2,,3-1,3-4,3-3,4-0,5-2,1-5,2-4,3-1,4-0,4-2,5-1,5-1
6,Cleveland Cavaliers,4-3,0-8,1-5,5-1,1-3,,1-3,1-3,4-3,2-2,1-3,1-3,0-6,6-0,1-3,1-3,3-1
7,Detroit Pistons,2-2,2-2,1-3,3-1,4-3,3-1,,2-4,1-3,3-3,1-5,2-5,1-3,3-1,4-2,6-0,2-4
8,Golden State Warriors,3-1,1-3,1-3,4-0,3-3,3-1,4-2,,3-1,4-2,3-4,1-5,2-2,4-0,2-4,5-1,4-3
9,Houston Rockets,4-4,2-5,1-5,5-1,0-4,3-4,3-1,1-3,,0-4,1-3,1-3,1-5,5-1,2-2,2-2,2-2
10,Kansas City-Omaha Kings,2-2,1-3,1-3,3-1,2-5,2-2,3-3,2-4,4-0,,1-5,1-6,0-4,3-1,3-3,4-2,4-2
11,Los Angeles Lakers,1-3,3-1,0-4,4-0,5-1,3-1,5-1,4-3,3-1,5-1,,3-3,2-2,4-0,6-1,6-0,6-0
12,Milwaukee Bucks,3-1,2-2,2-2,4-0,4-2,3-1,5-2,5-1,3-1,6-1,3-3,,2-2,3-1,5-1,5-1,5-1
13,New York Knicks,3-3,3-3,4-4,6-1,1-3,6-0,3-1,2-2,5-1,4-0,2-2,2-2,,6-1,3-1,3-1,4-0
14,Philadelphia 76ers,0-6,1-5,0-7,1-7,0-4,0-6,1-3,0-4,1-5,1-3,0-4,1-3,1-6,,0-4,1-3,1-3
15,Phoenix Suns,1-3,2-2,0-4,3-1,2-4,3-1,2-4,4-2,2-2,3-3,1-6,1-5,1-3,4-0,,5-2,4-2
16,Portland Trail Blazers,0-4,0-4,0-4,2-2,1-5,3-1,0-6,1-5,2-2,2-4,0-6,1-5,1-3,3-1,2-5,,3-4
17,Seattle SuperSonics,1-3,0-4,0-4,2-2,1-5,1-3,4-2,3-4,2-2,2-4,0-6,1-5,0-4,3-1,2-4,4-3,
