Rk,Team,ATL,BOS,BUF,CAP,CHI,CLE,DET,GSW,HOU,KCO,LAL,MIL,NYK,PHI,PHO,POR,SEA
1,Atlanta Hawks,,1-5,2-4,4-4,1-3,4-3,0-4,1-3,5-2,1-3,4-0,1-3,1-5,3-3,1-3,2-2,4-0
2,Boston Celtics,5-1,,5-2,2-4,2-2,4-2,3-1,3-1,4-2,3-1,2-2,2-2,5-2,7-1,3-1,4-0,2-2
3,Buffalo Braves,4-2,2-5,,3-3,1-3,5-1,1-3,1-3,4-2,2-2,0-4,1-3,4-4,6-1,3-1,3-1,2-2
4,Capital Bullets,4-4,4-2,3-3,,1-3,6-1,2-2,3-1,4-3,3-1,2-2,1-3,3-3,4-2,2-2,3-1,2-2
5,Chicago Bulls,3-1,2-2,3-1,3-1,,4-0,5-2,4-2,4-0,5-2,1-5,3-3,2-2,3-1,4-2,4-2,4-2
6,Cleveland Cavaliers,3-4,2-4,1-5,1-6,0-4,,2-2,0-4,4-4,0-4,3-1,0-4,1-5,5-1,1-3,4-0,2-2
7,Detroit Pistons,4-0,1-3,3-1,2-2,2-5,2-2,,5-1,3-1,4-2,4-2,3-4,1-3,2-2,6-0,5-1,5-1
8,Golden State Warriors,3-1,1-3,3-1,1-3,2-4,4-0,1-5,,4-0,3-3,4-2,3-3,1-3,3-1,5-2,3-4,3-3
9,Houston Rockets,2-5,2-4,2-4,3-4,0-4,4-4,1-3,0-4,,2-2,2-2,0-4,4-2,4-2,2-2,3-1,1-3
10,Kansas City-Omaha Kings,3-1,1-3,2-2,1-3,2-5,4-0,2-4,3-3,2-2,,1-5,0-7,1-3,1-3,4-2,4-2,2-4
11,Los Angeles Lakers,0-4,2-2,4-0,2-2,5-1,1-3,2-4,2-4,2-2,5-1,,4-2,2-2,4-0,4-2,4-3,4-3
12,Milwaukee Bucks,3-1,2-2,3-1,3-1,3-3,4-0,4-3,3-3,4-0,7-0,2-4,,2-2,4-0,5-1,6-0,4-2
13,New York Knicks,5-1,2-5,4-4,3-3,2-2,5-1,3-1,3-1,2-4,3-1,2-2,2-2,,4-3,3-1,2-2,4-0
14,Philadelphia 76ers,3-3,1-7,1-6,2-4,1-3,1-5,2-2,1-3,2-4,3-1,0-4,0-4,3-4,,3-1,2-2,0-4
15,Phoenix Suns,3-1,1-3,1-3,2-2,2-4,3-1,0-6,2-5,2-2,2-4,2-4,1-5,1-3,1-3,,3-3,4-3
16,Portland Trail Blazers,2-2,0-4,1-3,1-3,2-4,0-4,1-5,4-3,1-3,2-4,3-4,0-6,2-2,2-2,3-3,,3-3
17,Seattle SuperSonics,0-4,2-2,2-2,2-2,2-4,2-2,1-5,3-3,3-1,4-2,3-4,2-4,0-4,4-0,3-4,3-3,
