Rk,Team,ATL,BOS,BUF,CHI,CLE,DET,GSW,HOU,KCO,LAL,MIL,NOJ,NYK,PHI,PHO,POR,SEA,WSB
1,Atlanta Hawks,,0-4,1-3,0-4,3-4,2-2,1-3,2-5,2-2,2-2,2-2,3-5,0-4,2-2,4-0,1-3,3-1,3-5
2,Boston Celtics,4-0,,5-4,3-1,3-1,3-1,1-3,4-0,2-2,4-0,4-0,4-0,7-2,5-3,3-1,4-0,2-2,2-2
3,Buffalo Braves,3-1,4-5,,1-3,3-1,2-2,3-1,2-2,1-3,4-0,1-3,4-0,5-3,6-3,3-1,2-2,3-1,2-2
4,Chicago Bulls,4-0,1-3,3-1,,2-2,4-5,3-1,2-2,4-5,3-1,3-5,4-0,3-1,2-2,2-2,2-2,4-0,1-3
5,Cleveland Cavaliers,4-3,1-3,1-3,2-2,,2-2,2-2,4-4,2-2,2-2,1-3,6-1,1-3,3-1,2-2,2-2,2-2,3-5
6,Detroit Pistons,2-2,1-3,2-2,5-4,2-2,,1-3,2-2,2-6,3-1,3-6,4-0,2-2,3-1,2-2,3-1,2-2,1-3
7,Golden State Warriors,3-1,3-1,1-3,1-3,2-2,3-1,,2-2,2-2,5-2,3-1,2-2,3-1,3-1,5-3,5-3,4-3,1-3
8,Houston Rockets,5-2,0-4,2-2,2-2,4-4,2-2,2-2,,4-0,2-2,3-1,5-3,1-3,2-2,2-2,2-2,1-3,2-5
9,Kansas City-Omaha Kings,2-2,2-2,3-1,5-4,2-2,6-2,2-2,0-4,,3-1,6-3,2-2,2-2,1-3,3-1,3-1,1-3,1-3
10,Los Angeles Lakers,2-2,0-4,0-4,1-3,2-2,1-3,2-5,2-2,1-3,,4-0,3-1,0-4,3-1,4-4,2-5,2-6,1-3
11,Milwaukee Bucks,2-2,0-4,3-1,5-3,3-1,6-3,1-3,1-3,3-6,0-4,,3-1,3-1,3-1,2-2,2-2,1-3,0-4
12,New Orleans Jazz,5-3,0-4,0-4,0-4,1-6,0-4,2-2,3-5,2-2,1-3,1-3,,2-2,2-2,1-3,2-2,1-3,0-7
13,New York Knicks,4-0,2-7,3-5,1-3,3-1,2-2,1-3,3-1,2-2,4-0,1-3,2-2,,4-5,3-1,2-2,2-2,1-3
14,Philadelphia 76ers,2-2,3-5,3-6,2-2,1-3,1-3,1-3,2-2,3-1,1-3,1-3,2-2,5-4,,2-2,2-2,2-2,1-3
15,Phoenix Suns,0-4,1-3,1-3,2-2,2-2,2-2,3-5,2-2,1-3,4-4,2-2,3-1,1-3,2-2,,1-6,4-3,1-3
16,Portland Trail Blazers,3-1,0-4,2-2,2-2,2-2,1-3,3-5,2-2,1-3,5-2,2-2,2-2,2-2,2-2,6-1,,2-6,1-3
17,Seattle SuperSonics,1-3,2-2,1-3,0-4,2-2,2-2,3-4,3-1,3-1,6-2,3-1,3-1,2-2,2-2,3-4,6-2,,1-3
18,Washington Bullets,5-3,2-2,2-2,3-1,5-3,3-1,3-1,5-2,3-1,3-1,4-0,7-0,3-1,3-1,3-1,3-1,3-1,
