Rk,Team,ATL,BOS,BUF,CHI,CLE,DET,GSW,HOU,KCK,LAL,MIL,NOJ,NYK,PHI,PHO,POR,SEA,WSB
1,Atlanta Hawks,,2-3,2-3,2-2,2-5,1-3,2-2,2-5,2-2,1-3,2-2,2-4,3-2,2-3,0-4,2-2,1-3,1-5
2,Boston Celtics,3-2,,4-3,2-2,3-2,4-0,2-2,4-1,2-2,4-0,2-2,4-1,5-2,4-3,4-0,2-2,2-2,3-2
3,Buffalo Braves,3-2,3-4,,3-1,3-2,1-3,1-3,3-2,4-0,2-2,3-1,4-1,4-3,3-4,3-1,2-2,2-2,2-3
4,Chicago Bulls,2-2,2-2,1-3,,0-4,3-4,1-4,1-3,1-6,3-2,3-4,2-2,0-4,0-4,2-3,1-4,2-3,0-4
5,Cleveland Cavaliers,5-2,2-3,2-3,4-0,,2-2,1-3,2-4,1-3,2-2,4-0,4-3,3-2,3-2,3-1,4-0,3-1,4-2
6,Detroit Pistons,3-1,0-4,3-1,4-3,2-2,,0-5,2-2,5-2,1-4,3-4,1-3,3-1,1-3,1-4,2-3,3-2,2-2
7,Golden State Warriors,2-2,2-2,3-1,4-1,3-1,5-0,,2-2,4-1,5-2,5-0,2-2,4-0,3-1,4-2,4-2,4-3,3-1
8,Houston Rockets,5-2,1-4,2-3,3-1,4-2,2-2,2-2,,2-2,1-3,2-2,2-4,3-2,3-2,0-4,3-1,2-2,3-4
9,Kansas City Kings,2-2,2-2,0-4,6-1,3-1,2-5,1-4,2-2,,2-3,2-5,1-3,1-3,1-3,3-2,0-5,2-3,1-3
10,Los Angeles Lakers,3-1,0-4,2-2,2-3,2-2,4-1,2-5,3-1,3-2,,2-3,3-1,3-1,2-2,2-4,3-4,3-3,1-3
11,Milwaukee Bucks,2-2,2-2,1-3,4-3,0-4,4-3,0-5,2-2,5-2,3-2,,2-2,2-2,2-2,3-2,2-3,2-3,2-2
12,New Orleans Jazz,4-2,1-4,1-4,2-2,3-4,3-1,2-2,4-2,3-1,1-3,2-2,,2-3,1-4,1-3,3-1,1-3,4-3
13,New York Knicks,2-3,2-5,3-4,4-0,2-3,1-3,0-4,2-3,3-1,1-3,2-2,3-2,,5-2,2-2,3-1,0-4,3-2
14,Philadelphia 76ers,3-2,3-4,4-3,4-0,2-3,3-1,1-3,2-3,3-1,2-2,2-2,4-1,2-5,,3-1,4-0,2-2,2-3
15,Phoenix Suns,4-0,0-4,1-3,3-2,1-3,4-1,2-4,4-0,2-3,4-2,2-3,3-1,2-2,1-3,,5-2,4-3,0-4
16,Portland Trail Blazers,2-2,2-2,2-2,4-1,0-4,3-2,2-4,1-3,5-0,4-3,3-2,1-3,1-3,0-4,2-5,,3-3,2-2
17,Seattle SuperSonics,3-1,2-2,2-2,3-2,1-3,2-3,3-4,2-2,3-2,3-3,3-2,3-1,4-0,2-2,3-4,3-3,,1-3
18,Washington Bullets,5-1,2-3,3-2,4-0,2-4,2-2,1-3,4-3,3-1,3-1,2-2,3-4,2-3,3-2,4-0,2-2,3-1,
