Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
1,Pete Maravich,29,NOJ,SG,73,,41.7,12.1,28.0,.433,6.9,8.2,.835,1.2,3.9,5.1,5.4,1.2,0.3,2.6,31.1,MVP-3ASNBA1,maravpe01
2,Billy Knight,24,IND,SF,78,,40.0,10.7,21.6,.493,5.3,6.5,.816,2.9,4.6,7.5,3.3,1.5,0.2,2.5,26.6,AS,knighbi01
3,Kareem Abdul-Jabbar,29,LAL,C,82,82,36.8,10.8,18.7,.579,4.6,6.5,.701,3.2,10.0,13.3,3.9,1.2,3.2,3.2,26.2,MVP-1ASNBA1,abdulka01
4,David Thompson,22,DEN,SG,82,82,36.6,10.0,19.8,.507,5.8,7.6,.766,1.7,2.4,4.1,4.1,1.4,0.6,2.9,25.9,MVP-7ASNBA1,thompda01
5,Bob McAdoo,25,2TM,C,72,49,38.9,10.3,20.1,.512,5.3,7.2,.738,2.8,10.1,12.9,2.8,1.1,1.4,3.6,25.8,AS,mcadobo01
5,Bob McAdoo,25,BUF,C,20,,38.4,9.1,20.0,.455,5.5,7.9,.696,3.3,9.9,13.2,3.3,0.8,1.7,3.7,23.7,,mcadobo01
5,Bob McAdoo,25,NYK,C,52,49,39.1,10.7,20.1,.534,5.2,6.9,.757,2.6,10.2,12.7,2.7,1.2,1.3,3.6,26.7,,mcadobo01
6,Bob Lanier,28,DET,C,64,,38.2,10.6,19.8,.534,4.1,5.0,.818,3.1,8.5,11.6,3.3,1.1,2.0,2.7,25.3,MVP-4AS,laniebo01
7,John Drew,22,ATL,SF,74,,36.3,9.3,19.1,.487,5.6,7.8,.714,3.8,5.3,9.1,1.8,1.4,0.4,3.7,24.2,,drewjo01
8,Elvin Hayes,31,WSB,PF,82,,41.0,9.3,18.5,.501,5.1,7.5,.687,3.5,9.0,12.5,1.9,1.1,2.7,3.8,23.7,MVP-7ASNBA1,hayesel01
9,George Gervin,24,SAS,SF,82,82,33.0,8.9,16.3,.544,5.4,6.5,.833,1.6,3.9,5.5,2.9,1.3,1.3,3.5,23.1,MVP-11ASNBA2,gervige01
10,Dan Issel,28,DEN,C,79,,31.7,8.4,16.2,.515,5.6,7.1,.797,2.7,6.1,8.8,2.2,1.2,0.4,3.1,22.3,AS,isselda01
11,Ron Boone,30,KCK,SG,82,82,36.8,9.1,19.2,.474,4.0,4.7,.844,1.6,2.4,3.9,4.1,1.5,0.2,3.1,22.2,,boonero01
12,Larry Kenon,24,SAS,PF,78,,37.6,9.1,18.4,.492,3.8,4.6,.823,3.6,7.7,11.3,2.9,2.1,0.8,2.4,21.9,,kenonla01
13,Rick Barry,32,GSW,SF,79,,36.8,8.6,19.6,.440,4.5,5.0,.916,0.9,4.4,5.3,6.0,2.2,0.7,2.5,21.8,AS,barryri01
14,Julius Erving,26,PHI,SF,82,77,35.9,8.4,16.7,.499,4.9,6.3,.777,2.3,6.1,8.5,3.7,1.9,1.4,3.1,21.6,MVP-5ASNBA2,ervinju01
15,Rudy Tomjanovich,28,HOU,PF,81,,38.6,9.0,17.7,.510,3.5,4.2,.839,2.1,6.3,8.4,2.1,0.7,0.3,2.4,21.6,AS,tomjaru01
16,George McGinnis,26,PHI,PF,79,78,35.1,8.3,18.2,.458,4.7,6.9,.681,4.1,7.4,11.5,3.8,2.1,0.5,3.8,21.4,MVP-11ASNBA2,mcginge01
17,Paul Westphal,26,PHO,PG,81,,32.1,8.4,16.3,.518,4.5,5.4,.825,0.7,1.6,2.3,5.7,1.7,0.3,2.1,21.3,ASNBA1,westppa01
18,Bob Dandridge,29,MIL,SF,70,,35.7,8.4,17.9,.467,4.0,5.2,.771,2.1,4.2,6.3,3.8,1.4,0.4,3.2,20.8,,dandrbo01
19,John Williamson,25,2TM,SG,72,,34.5,8.6,18.7,.459,3.6,4.6,.787,0.6,2.1,2.7,2.8,1.5,0.2,3.4,20.8,,willijo01
19,John Williamson,25,NYN,SG,42,,34.0,8.5,19.1,.445,3.8,4.9,.789,0.6,2.3,2.8,2.1,1.4,0.1,3.4,20.8,,willijo01
19,John Williamson,25,IND,SG,30,,35.2,8.7,18.1,.480,3.3,4.2,.784,0.6,1.9,2.5,3.7,1.6,0.2,3.4,20.7,,willijo01
20,Randy Smith,28,BUF,SG,82,,37.7,8.6,18.3,.467,3.6,4.7,.762,1.6,3.9,5.6,5.4,2.1,0.1,3.2,20.7,,smithra01
21,Tiny Archibald,28,NYN,PG,34,,37.6,7.4,16.5,.446,5.8,7.4,.785,0.6,1.7,2.4,7.5,1.7,0.3,2.3,20.5,,architi01
22,Adrian Dantley,21,BUF,SF,77,,36.6,7.1,13.6,.520,6.2,7.6,.818,3.3,4.4,7.6,1.9,1.2,0.2,2.8,20.3,ROY-1,dantlad01
23,Phil Chenier,26,WSB,SG,78,,36.4,8.4,18.9,.444,3.5,4.1,.841,0.7,3.1,3.8,3.8,1.5,0.5,2.1,20.2,AS,cheniph01
24,Maurice Lucas,24,POR,PF,79,,36.2,8.0,17.2,.466,4.2,5.5,.765,3.4,7.9,11.4,2.9,1.1,0.7,3.7,20.2,MVP-9AS,lucasma01
25,Earl Monroe,32,NYK,SG,77,76,34.5,8.0,15.4,.517,4.0,4.8,.839,0.6,2.3,2.9,4.8,1.2,0.3,2.6,19.9,AS,monroea01
26,Jo Jo White,30,BOS,PG,82,82,40.6,7.8,18.1,.429,4.1,4.7,.869,1.1,3.6,4.7,6.0,1.4,0.3,2.4,19.6,MVP-11ASNBA2,whitejo01
27,Bubbles Hawkins,22,NYN,SG,52,,28.5,7.8,17.5,.447,3.7,5.4,.688,1.3,1.7,3.0,1.8,1.5,0.5,3.1,19.3,,hawkiro01
28,Brian Winters,24,MIL,SG,78,,34.8,8.4,16.8,.498,2.6,3.1,.847,0.8,2.1,3.0,4.3,1.5,0.4,2.9,19.3,,wintebr01
29,Truck Robinson,25,2TM,PF,77,,36.1,7.5,15.6,.478,4.1,5.6,.730,3.3,7.5,10.8,1.8,0.9,0.5,3.3,19.0,,robintr01
29,Truck Robinson,25,WSB,PF,41,,32.4,6.4,13.5,.478,3.1,4.6,.677,2.9,6.0,8.9,1.1,0.7,0.4,3.0,16.0,,robintr01
29,Truck Robinson,25,ATL,PF,36,,40.3,8.6,18.0,.478,5.2,6.7,.772,3.7,9.1,12.8,2.7,1.1,0.6,3.6,22.4,,robintr01
30,Phil Smith,24,GSW,SG,82,82,35.1,7.7,16.1,.479,3.6,4.6,.785,1.2,2.8,4.0,4.0,1.2,0.4,2.8,19.0,AS,smithph01
31,Artis Gilmore,27,CHI,C,82,82,35.1,7.0,13.3,.522,4.7,7.1,.660,3.8,9.2,13.0,2.4,0.5,2.5,3.2,18.6,MVP-10,gilmoar01
32,Bill Walton,24,POR,C,65,,34.8,7.6,14.3,.528,3.5,5.0,.697,3.2,11.1,14.4,3.8,1.0,3.2,2.7,18.6,MVP-2ASNBA2,waltobi01
33,Doug Collins,25,PHI,SG,58,47,35.1,7.3,14.2,.518,3.6,4.3,.840,1.1,2.3,3.4,4.7,1.2,0.3,3.0,18.3,AS,collido01
34,Charlie Scott,28,BOS,SG,43,,36.8,7.6,17.1,.444,3.0,4.0,.746,1.2,3.2,4.4,4.6,1.4,0.3,3.6,18.2,,scottch01
35,Alvan Adams,22,PHO,C,72,,31.6,7.3,15.3,.474,3.5,4.6,.754,2.5,6.6,9.1,4.5,1.3,1.2,3.6,18.0,,adamsal01
36,Calvin Murphy,28,HOU,PG,82,,33.7,7.3,14.8,.490,3.3,3.7,.886,0.7,1.4,2.1,4.7,1.8,0.1,3.4,17.9,,murphca01
37,John Havlicek,36,BOS,SF,79,,36.9,7.3,16.2,.452,3.0,3.6,.816,1.4,3.5,4.8,5.1,1.1,0.2,2.6,17.7,AS,havlijo01
38,Jamaal Wilkes,23,GSW,PF,76,,33.9,7.2,15.1,.478,3.3,4.1,.797,2.0,5.6,7.6,2.8,1.7,0.2,2.9,17.7,,wilkeja01
39,Walt Frazier,31,NYK,PG,76,67,35.4,7.0,14.3,.489,3.4,4.4,.771,0.7,3.2,3.9,5.3,1.7,0.1,2.6,17.4,,fraziwa01
40,Mickey Johnson,24,CHI,PF,81,81,35.1,6.6,14.9,.446,4.0,5.0,.796,3.7,6.6,10.2,2.4,1.3,0.8,3.9,17.3,,johnsmi01
41,Fred Brown,28,SEA,SG,72,,29.1,7.4,15.5,.479,2.3,2.6,.884,0.9,2.3,3.2,2.4,1.7,0.3,1.9,17.2,,brownfr01
42,Brian Taylor,25,KCK,PG,72,,34.6,7.0,13.8,.504,3.1,3.8,.818,1.2,2.1,3.3,4.4,2.8,0.2,2.9,17.0,,taylobr01
43,Lou Hudson,32,ATL,SG,58,,30.1,7.1,15.6,.456,2.4,2.9,.840,0.8,1.4,2.2,2.7,1.2,0.3,2.8,16.7,,hudsolo01
44,Spencer Haywood,27,NYK,PF,31,26,32.9,6.5,14.5,.450,3.5,4.2,.832,2.5,6.5,9.0,1.6,0.5,0.9,2.3,16.5,,haywosp01
45,Campy Russell,25,CLE,SF,70,,30.1,6.2,14.3,.434,4.1,5.3,.778,2.1,3.9,6.0,2.7,1.0,0.3,2.8,16.5,,russeca02
46,Dave Cowens,28,BOS,C,50,,37.8,6.6,15.1,.434,3.2,4.0,.818,2.9,11.0,13.9,5.0,0.9,1.0,3.6,16.4,AS,cowenda01
47,Cazzie Russell,32,LAL,SF,82,82,31.5,7.0,14.4,.490,2.3,2.7,.858,1.0,2.5,3.6,2.6,1.0,0.1,2.0,16.4,,russeca01
