Rk,Team,ATL,BOS,BUF,CHI,CLE,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NOJ,NYK,NYN,PHI,PHO,POR,SAS,SEA,WSB
1,Atlanta Hawks,,0-4,4-0,2-2,2-2,2-2,0-4,0-4,1-3,0-4,1-2,2-2,2-2,1-3,1-3,3-1,1-3,0-4,3-1,4-0,1-2,1-3
2,Boston Celtics,4-0,,3-1,2-2,1-3,3-1,2-2,1-3,2-2,1-2,3-1,2-1,3-1,2-2,2-2,3-1,1-3,2-2,1-3,4-0,2-2,0-4
3,Buffalo Braves,0-4,1-3,,1-3,2-2,2-2,3-1,0-3,1-3,1-3,0-3,1-3,3-1,3-1,1-3,2-2,2-2,3-1,1-3,0-4,3-1,0-4
4,Chicago Bulls,2-2,2-2,3-1,,3-1,1-3,2-2,2-2,1-3,2-2,2-2,3-1,3-1,4-0,2-2,2-1,2-2,2-2,0-4,3-1,2-2,1-2
5,Cleveland Cavaliers,2-2,3-1,2-2,1-3,,2-2,1-3,2-2,1-3,2-1,3-1,2-2,4-0,2-2,2-2,3-1,1-3,2-1,2-2,2-2,3-1,1-3
6,Denver Nuggets,2-2,1-3,2-2,3-1,2-2,,3-1,2-2,3-0,3-1,3-1,2-2,3-1,3-1,2-2,3-1,1-3,3-1,2-2,1-2,4-0,2-2
7,Detroit Pistons,4-0,2-2,1-3,2-2,3-1,1-3,,3-1,2-2,2-2,4-0,1-3,3-1,3-1,1-2,3-1,2-2,2-2,2-2,1-2,1-3,1-3
8,Golden State Warriors,4-0,3-1,3-0,2-2,2-2,2-2,1-3,,2-1,4-0,1-3,2-2,1-3,1-3,1-3,3-1,3-1,4-0,1-3,2-2,1-3,3-1
9,Houston Rockets,3-1,2-2,3-1,3-1,3-1,0-3,2-2,1-2,,4-0,2-2,2-2,3-1,2-2,2-2,2-2,1-3,3-1,3-1,2-2,3-1,3-1
10,Indiana Pacers,4-0,2-1,3-1,2-2,1-2,1-3,2-2,0-4,0-4,,2-2,1-3,2-2,2-2,2-2,4-0,2-2,2-2,0-4,2-2,2-2,0-4
11,Kansas City Kings,2-1,1-3,3-0,2-2,1-3,1-3,0-4,3-1,2-2,2-2,,1-3,2-2,2-2,4-0,4-0,1-3,3-1,2-2,1-3,1-3,2-2
12,Los Angeles Lakers,2-2,1-2,3-1,1-3,2-2,2-2,3-1,2-2,2-2,3-1,3-1,,3-1,3-0,1-3,4-0,2-2,3-1,3-1,3-1,3-1,4-0
13,Milwaukee Bucks,2-2,1-3,1-3,1-3,0-4,1-3,1-3,3-1,1-3,2-2,2-2,1-3,,1-2,1-3,3-1,1-2,1-3,2-2,3-1,1-3,1-3
14,New Orleans Jazz,3-1,2-2,1-3,0-4,2-2,1-3,1-3,3-1,2-2,2-2,2-2,0-3,2-1,,3-1,2-2,0-4,3-1,2-2,1-3,1-3,2-2
15,New York Knicks,3-1,2-2,3-1,2-2,2-2,2-2,2-1,3-1,2-2,2-2,0-4,3-1,3-1,1-3,,2-2,1-3,2-2,1-3,1-3,1-2,2-2
16,New York Nets,1-3,1-3,2-2,1-2,1-3,1-3,1-3,1-3,2-2,0-4,0-4,0-4,1-3,2-2,2-2,,1-3,2-2,0-3,1-3,1-3,1-3
17,Philadelphia 76ers,3-1,3-1,2-2,2-2,3-1,3-1,2-2,1-3,3-1,2-2,3-1,2-2,2-1,4-0,3-1,3-1,,1-2,2-2,1-3,2-2,3-1
18,Phoenix Suns,4-0,2-2,1-3,2-2,1-2,1-3,2-2,0-4,1-3,2-2,1-3,1-3,3-1,1-3,2-2,2-2,2-1,,1-3,1-3,3-1,1-3
19,Portland Trail Blazers,1-3,3-1,3-1,4-0,2-2,2-2,2-2,3-1,1-3,4-0,2-2,1-3,2-2,2-2,3-1,3-0,2-2,3-1,,2-2,3-1,1-2
20,San Antonio Spurs,0-4,0-4,4-0,1-3,2-2,2-1,2-1,2-2,2-2,2-2,3-1,1-3,1-3,3-1,3-1,3-1,3-1,3-1,2-2,,3-1,2-2
21,Seattle SuperSonics,2-1,2-2,1-3,2-2,1-3,0-4,3-1,3-1,1-3,2-2,3-1,1-3,3-1,3-1,2-1,3-1,2-2,1-3,1-3,1-3,,3-1
22,Washington Bullets,3-1,4-0,4-0,2-1,3-1,2-2,3-1,1-3,1-3,4-0,2-2,0-4,3-1,2-2,2-2,3-1,1-3,3-1,2-1,2-2,1-3,
