Rk,Team,ATL,BOS,BUF,CHI,CLE,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NOJ,NYK,PHI,PHO,POR,SAS,SEA,WSB
1,Atlanta Hawks,,2-2,3-1,1-3,1-3,1-3,2-2,1-3,3-1,3-1,2-1,3-1,2-2,3-1,2-2,2-2,2-2,3-1,1-3,1-3,2-1,1-3
2,Boston Celtics,2-2,,3-1,1-3,1-3,1-3,1-3,2-2,2-2,2-1,2-2,1-2,3-1,3-1,2-2,2-2,0-4,2-2,1-3,0-4,0-4,1-3
3,Buffalo Braves,1-3,1-3,,3-1,1-3,1-3,1-3,0-3,3-1,1-3,1-2,1-3,1-3,2-2,2-2,3-1,1-3,0-4,1-3,1-3,1-3,1-3
4,Chicago Bulls,3-1,3-1,1-3,,3-1,2-2,2-2,1-3,3-1,3-1,0-4,2-2,1-3,1-2,2-2,1-3,3-1,2-2,1-3,2-2,2-2,2-1
5,Cleveland Cavaliers,3-1,3-1,3-1,1-3,,3-1,2-2,2-2,2-2,2-1,2-2,2-2,3-1,3-1,2-2,3-1,1-3,1-2,0-4,0-4,3-1,2-2
6,Denver Nuggets,3-1,3-1,3-1,2-2,1-3,,2-2,2-2,3-0,2-2,2-2,3-1,3-1,3-1,3-1,1-3,1-3,2-2,3-1,2-1,1-3,3-1
7,Detroit Pistons,2-2,3-1,3-1,2-2,2-2,2-2,,2-2,3-1,1-3,1-3,2-2,2-2,3-1,3-1,0-3,0-4,2-2,1-3,1-2,1-3,2-2
8,Golden State Warriors,3-1,2-2,3-0,3-1,2-2,2-2,2-2,,2-1,3-1,3-1,0-4,2-2,3-1,0-4,2-2,1-3,2-2,1-3,3-1,2-2,2-2
9,Houston Rockets,1-3,2-2,1-3,1-3,2-2,0-3,1-3,1-2,,3-1,2-2,1-3,1-3,2-2,1-3,2-2,2-2,1-3,2-2,1-3,0-4,1-3
10,Indiana Pacers,1-3,1-2,3-1,1-3,1-2,2-2,3-1,1-3,1-3,,2-2,1-3,0-4,2-2,2-2,1-3,2-2,1-3,1-3,1-3,1-3,3-1
11,Kansas City Kings,1-2,2-2,2-1,4-0,2-2,2-2,3-1,1-3,2-2,2-2,,2-2,0-4,2-2,2-2,0-4,1-3,0-4,0-4,0-4,1-3,2-2
12,Los Angeles Lakers,1-3,2-1,3-1,2-2,2-2,1-3,2-2,4-0,3-1,3-1,2-2,,3-1,4-0,2-1,3-1,2-2,1-3,0-4,2-2,1-3,2-2
13,Milwaukee Bucks,2-2,1-3,3-1,3-1,1-3,1-3,2-2,2-2,3-1,4-0,4-0,1-3,,3-1,2-1,3-1,1-2,1-3,1-3,2-2,1-3,3-1
14,New Jersey Nets,1-3,1-3,2-2,2-1,1-3,1-3,1-3,1-3,2-2,2-2,2-2,0-4,1-3,,0-4,1-3,0-4,2-2,0-3,0-4,2-2,2-2
15,New Orleans Jazz,2-2,2-2,2-2,2-2,2-2,1-3,1-3,4-0,3-1,2-2,2-2,1-2,1-2,4-0,,1-3,2-2,1-3,3-1,1-3,2-2,0-4
16,New York Knicks,2-2,2-2,1-3,3-1,1-3,3-1,3-0,2-2,2-2,3-1,4-0,1-3,1-3,3-1,3-1,,1-3,1-3,1-3,2-2,2-1,2-2
17,Philadelphia 76ers,2-2,4-0,3-1,1-3,3-1,3-1,4-0,3-1,2-2,2-2,3-1,2-2,2-1,4-0,2-2,3-1,,2-1,2-2,3-1,3-1,2-2
18,Phoenix Suns,1-3,2-2,4-0,2-2,2-1,2-2,2-2,2-2,3-1,3-1,4-0,3-1,3-1,2-2,3-1,3-1,1-2,,1-3,2-2,2-2,2-2
19,Portland Trail Blazers,3-1,3-1,3-1,3-1,4-0,1-3,3-1,3-1,2-2,3-1,4-0,4-0,3-1,3-0,1-3,3-1,2-2,3-1,,2-2,3-1,2-1
20,San Antonio Spurs,3-1,4-0,3-1,2-2,4-0,1-2,2-1,1-3,3-1,3-1,4-0,2-2,2-2,4-0,3-1,2-2,1-3,2-2,2-2,,2-2,2-2
21,Seattle SuperSonics,1-2,4-0,3-1,2-2,1-3,3-1,3-1,2-2,4-0,3-1,3-1,3-1,3-1,2-2,2-2,1-2,1-3,2-2,1-3,2-2,,1-3
22,Washington Bullets,3-1,3-1,3-1,1-2,2-2,1-3,2-2,2-2,3-1,1-3,2-2,2-2,1-3,2-2,4-0,2-2,2-2,2-2,1-2,2-2,3-1,
