Rk,Team,ATL,BOS,CHI,CLE,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NOJ,NYK,PHI,PHO,POR,SAS,SDC,SEA,WSB
1,Atlanta Hawks,,2-2,3-1,3-1,3-1,3-1,1-3,3-1,1-3,2-2,1-3,3-0,2-2,2-2,2-2,2-2,2-1,2-2,3-1,3-1,1-3,2-2
2,Boston Celtics,2-2,,1-2,2-2,1-3,2-2,2-1,1-3,3-1,1-3,1-3,1-3,1-3,2-2,3-1,2-2,0-4,1-3,0-4,1-3,2-2,0-4
3,Chicago Bulls,1-3,2-1,,1-3,2-2,2-2,3-1,2-2,2-2,0-4,1-3,1-3,2-2,2-2,3-1,1-3,1-3,4-0,0-3,0-4,0-4,1-3
4,Cleveland Cavaliers,1-3,2-2,3-1,,1-2,1-3,2-1,2-2,1-3,1-3,2-2,1-3,3-1,2-2,2-2,2-2,0-4,0-4,0-4,2-2,2-2,0-4
5,Denver Nuggets,1-3,3-1,2-2,2-1,,2-2,4-0,1-3,3-1,1-3,3-1,2-2,4-0,3-1,3-1,0-3,3-1,1-3,3-1,2-2,3-1,1-3
6,Detroit Pistons,1-3,2-2,2-2,3-1,2-2,,1-3,2-2,2-2,2-2,2-2,2-1,0-4,2-2,1-3,1-3,0-4,1-3,1-3,2-2,0-3,1-3
7,Golden State Warriors,3-1,1-2,1-3,1-2,0-4,3-1,,2-2,2-2,2-2,1-3,2-2,1-3,3-1,3-1,3-1,1-3,2-2,1-3,1-3,3-1,2-2
8,Houston Rockets,1-3,3-1,2-2,2-2,3-1,2-2,2-2,,0-4,3-1,2-1,2-2,3-1,4-0,4-0,0-4,2-2,3-1,3-1,2-1,2-2,2-2
9,Indiana Pacers,3-1,1-3,2-2,3-1,1-3,2-2,2-2,4-0,,1-3,0-4,2-2,1-2,2-1,2-2,2-2,2-2,3-1,3-1,1-3,0-4,1-3
10,Kansas City Kings,2-2,3-1,4-0,3-1,3-1,2-2,2-2,1-3,3-1,,2-2,2-2,3-1,3-1,2-1,2-2,2-2,1-3,1-3,2-2,2-2,3-0
11,Los Angeles Lakers,3-1,3-1,3-1,2-2,1-3,2-2,3-1,1-2,4-0,2-2,,3-1,2-2,2-2,3-0,1-3,2-2,2-2,2-2,2-2,2-2,2-2
12,Milwaukee Bucks,0-3,3-1,3-1,3-1,2-2,1-2,2-2,2-2,2-2,2-2,1-3,,2-2,3-1,1-3,2-2,2-2,2-2,1-3,1-3,2-2,1-3
13,New Jersey Nets,2-2,3-1,2-2,1-3,0-4,4-0,3-1,1-3,2-1,1-3,2-2,2-2,,3-1,1-3,2-2,3-0,2-2,0-4,2-2,0-4,1-3
14,New Orleans Jazz,2-2,2-2,2-2,2-2,1-3,2-2,1-3,0-4,1-2,1-3,2-2,1-3,1-3,,2-2,2-2,1-3,1-3,2-2,0-4,0-3,0-4
15,New York Knicks,2-2,1-3,1-3,2-2,1-3,3-1,1-3,0-4,2-2,1-2,0-3,3-1,3-1,2-2,,2-2,0-4,1-3,1-3,2-2,2-2,1-3
16,Philadelphia 76ers,2-2,2-2,3-1,2-2,3-0,3-1,1-3,4-0,2-2,2-2,3-1,2-2,2-2,2-2,2-2,,1-3,1-2,3-1,3-1,1-3,3-1
17,Phoenix Suns,1-2,4-0,3-1,4-0,1-3,4-0,3-1,2-2,2-2,2-2,2-2,2-2,0-3,3-1,4-0,3-1,,3-1,3-1,2-2,1-3,1-3
18,Portland Trail Blazers,2-2,3-1,0-4,4-0,3-1,3-1,2-2,1-3,1-3,3-1,2-2,2-2,2-2,3-1,3-1,2-1,1-3,,2-1,2-2,1-3,3-1
19,San Antonio Spurs,1-3,4-0,3-0,4-0,1-3,3-1,3-1,1-3,1-3,3-1,2-2,3-1,4-0,2-2,3-1,1-3,1-3,1-2,,4-0,2-2,1-3
20,San Diego Clippers,1-3,3-1,4-0,2-2,2-2,2-2,3-1,1-2,3-1,2-2,2-2,3-1,2-2,4-0,2-2,1-3,2-2,2-2,0-4,,2-2,0-3
21,Seattle SuperSonics,3-1,2-2,4-0,2-2,1-3,3-0,1-3,2-2,4-0,2-2,2-2,2-2,4-0,3-0,2-2,3-1,3-1,3-1,2-2,2-2,,2-2
22,Washington Bullets,2-2,4-0,3-1,4-0,3-1,3-1,2-2,2-2,3-1,0-3,2-2,3-1,3-1,4-0,3-1,1-3,3-1,1-3,3-1,3-0,2-2,
