Rk,Team,ATL,BOS,CHI,CLE,DEN,DET,GSW,HOU,IND,KCK,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAS,SDC,SEA,UTA,WSB
1,Atlanta Hawks,,2-4,1-1,4-2,1-1,6-0,2-0,2-4,4-2,0-2,1-1,1-1,4-2,4-2,4-2,1-1,2-0,5-1,1-1,0-2,2-0,3-3
2,Boston Celtics,4-2,,2-0,4-2,2-0,6-0,2-0,6-0,4-2,1-1,0-2,2-0,5-1,5-1,3-3,1-1,2-0,4-2,2-0,0-2,2-0,4-2
3,Chicago Bulls,1-1,0-2,,2-0,2-4,1-1,4-2,1-1,0-2,3-3,1-5,1-5,1-1,0-2,1-1,1-5,3-3,0-2,4-2,2-4,2-4,0-2
4,Cleveland Cavaliers,2-4,2-4,0-2,,1-1,6-0,2-0,2-4,2-4,2-0,1-1,0-2,3-3,3-3,1-5,1-1,0-2,4-2,1-1,0-2,1-1,3-3
5,Denver Nuggets,1-1,0-2,4-2,1-1,,1-1,3-3,1-1,1-1,0-6,1-5,3-3,1-1,1-1,0-2,1-5,2-4,1-1,3-3,1-5,3-3,1-1
6,Detroit Pistons,0-6,0-6,1-1,0-6,1-1,,1-1,1-5,1-5,0-2,0-2,1-1,2-4,2-4,1-5,0-2,0-2,2-4,0-2,0-2,1-1,2-4
7,Golden State Warriors,0-2,0-2,2-4,0-2,3-3,1-1,,1-1,1-1,3-3,1-5,0-6,2-0,0-2,0-2,2-4,2-4,0-2,3-3,0-6,3-3,0-2
8,Houston Rockets,4-2,0-6,1-1,4-2,1-1,5-1,1-1,,4-2,0-2,0-2,1-1,3-3,3-3,2-4,1-1,1-1,3-3,2-0,1-1,2-0,2-4
9,Indiana Pacers,2-4,2-4,2-0,4-2,1-1,5-1,1-1,2-4,,1-1,0-2,0-2,2-4,4-2,1-5,0-2,2-0,2-4,1-1,0-2,1-1,4-2
10,Kansas City Kings,2-0,1-1,3-3,0-2,6-0,2-0,3-3,2-0,1-1,,2-4,3-3,1-1,1-1,1-1,1-5,1-5,1-1,5-1,3-3,6-0,2-0
11,Los Angeles Lakers,1-1,2-0,5-1,1-1,5-1,2-0,5-1,2-0,2-0,4-2,,3-3,2-0,2-0,1-1,3-3,2-4,2-0,5-1,4-2,6-0,1-1
12,Milwaukee Bucks,1-1,0-2,5-1,2-0,3-3,1-1,6-0,1-1,2-0,3-3,3-3,,1-1,1-1,0-2,4-2,5-1,0-2,4-2,2-4,4-2,1-1
13,New Jersey Nets,2-4,1-5,1-1,3-3,1-1,4-2,0-2,3-3,4-2,1-1,0-2,1-1,,2-4,1-5,1-1,0-2,3-3,1-1,1-1,1-1,3-3
14,New York Knicks,2-4,1-5,2-0,3-3,1-1,4-2,2-0,3-3,2-4,1-1,0-2,1-1,4-2,,0-6,2-0,2-0,4-2,1-1,0-2,1-1,3-3
15,Philadelphia 76ers,2-4,3-3,1-1,5-1,2-0,5-1,2-0,4-2,5-1,1-1,1-1,2-0,5-1,6-0,,1-1,2-0,4-2,1-1,1-1,1-1,5-1
16,Phoenix Suns,1-1,1-1,5-1,1-1,5-1,2-0,4-2,1-1,2-0,5-1,3-3,2-4,1-1,0-2,1-1,,6-0,1-1,2-4,4-2,6-0,2-0
17,Portland Trail Blazers,0-2,0-2,3-3,2-0,4-2,2-0,4-2,1-1,0-2,5-1,4-2,1-5,2-0,0-2,0-2,0-6,,1-1,4-2,1-5,3-3,1-1
18,San Antonio Spurs,1-5,2-4,2-0,2-4,1-1,4-2,2-0,3-3,4-2,1-1,0-2,2-0,3-3,2-4,2-4,1-1,1-1,,2-0,1-1,1-1,4-2
19,San Diego Clippers,1-1,0-2,2-4,1-1,3-3,2-0,3-3,0-2,1-1,1-5,1-5,2-4,1-1,1-1,1-1,4-2,2-4,0-2,,3-3,5-1,1-1
20,Seattle SuperSonics,2-0,2-0,4-2,2-0,5-1,2-0,6-0,1-1,2-0,3-3,2-4,4-2,1-1,2-0,1-1,2-4,5-1,1-1,3-3,,5-1,1-1
21,Utah Jazz,0-2,0-2,4-2,1-1,3-3,1-1,3-3,0-2,1-1,0-6,0-6,2-4,1-1,1-1,1-1,0-6,3-3,1-1,1-5,1-5,,0-2
22,Washington Bullets,3-3,2-4,2-0,3-3,1-1,4-2,2-0,4-2,2-4,0-2,1-1,1-1,3-3,3-3,1-5,0-2,1-1,2-4,1-1,1-1,2-0,
