Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,KCK,LAC,LAL,MIL,NJN,NYK,PHI,PHO,POR,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,1-4,3-3,3-3,0-2,0-2,1-5,2-0,0-2,6-0,0-2,2-0,0-2,2-4,3-3,3-3,0-5,2-0,0-2,0-2,1-1,2-0,3-3
2,Boston Celtics,4-1,,4-2,6-0,2-0,1-1,4-2,2-0,2-0,5-1,2-0,2-0,1-1,1-4,5-1,6-0,3-3,2-0,1-1,2-0,1-1,2-0,5-1
3,Chicago Bulls,3-3,2-4,,2-4,2-0,1-1,3-3,1-1,0-2,2-4,2-0,2-0,1-1,3-3,2-4,4-2,0-5,1-1,1-1,1-1,2-0,0-2,3-2
4,Cleveland Cavaliers,3-3,0-6,4-2,,1-1,0-2,1-4,1-1,0-2,4-2,2-0,2-0,0-2,1-5,2-3,3-3,4-2,1-1,1-1,1-1,1-1,1-1,3-3
5,Dallas Mavericks,2-0,0-2,0-2,1-1,,2-4,0-2,4-1,2-4,2-0,5-1,3-2,1-4,1-1,1-1,2-0,1-1,2-3,4-1,4-2,5-0,1-5,1-1
6,Denver Nuggets,2-0,1-1,1-1,2-0,4-2,,0-2,5-0,2-4,2-0,4-2,2-3,2-3,1-1,2-0,1-1,1-1,4-1,4-1,3-3,3-2,4-2,2-0
7,Detroit Pistons,5-1,2-4,3-3,4-1,2-0,2-0,,2-0,1-1,6-0,1-1,1-1,1-1,3-3,1-5,3-2,1-5,2-0,1-1,1-1,1-1,0-2,3-3
8,Golden State Warriors,0-2,0-2,1-1,1-1,1-4,0-5,0-2,,2-3,0-2,2-3,2-4,1-5,0-2,1-1,1-1,0-2,2-4,2-4,1-4,3-3,1-4,1-1
9,Houston Rockets,2-0,0-2,2-0,2-0,4-2,4-2,1-1,3-2,,1-1,5-1,2-3,1-4,0-2,1-1,2-0,1-1,4-1,3-2,4-2,3-2,3-3,0-2
10,Indiana Pacers,0-6,1-5,4-2,2-4,0-2,0-2,0-6,2-0,1-1,,1-1,0-2,1-1,1-5,2-3,2-4,1-5,0-2,0-2,1-1,0-2,2-0,1-4
11,Kansas City Kings,2-0,0-2,0-2,0-2,1-5,2-4,1-1,3-2,1-5,1-1,,3-2,0-5,0-2,2-0,1-1,1-1,2-3,3-2,2-4,3-2,2-4,1-1
12,Los Angeles Clippers,0-2,0-2,0-2,0-2,2-3,3-2,1-1,4-2,3-2,2-0,2-3,,0-6,0-2,0-2,1-1,0-2,4-2,1-5,2-3,2-4,3-2,1-1
13,Los Angeles Lakers,2-0,1-1,1-1,2-0,4-1,3-2,1-1,5-1,4-1,1-1,5-0,6-0,,1-1,2-0,2-0,1-1,5-1,5-1,3-2,3-3,4-1,1-1
14,Milwaukee Bucks,4-2,4-1,3-3,5-1,1-1,1-1,3-3,2-0,2-0,5-1,2-0,2-0,1-1,,3-3,5-0,3-3,1-1,2-0,2-0,2-0,2-0,4-2
15,New Jersey Nets,3-3,1-5,4-2,3-2,1-1,0-2,5-1,1-1,1-1,3-2,0-2,2-0,0-2,3-3,,6-0,2-4,1-1,0-2,0-2,2-0,0-2,4-2
16,New York Knicks,3-3,0-6,2-4,3-3,0-2,1-1,2-3,1-1,0-2,4-2,1-1,1-1,0-2,0-5,0-6,,2-4,0-2,0-2,1-1,2-0,1-1,0-6
17,Philadelphia 76ers,5-0,3-3,5-0,2-4,1-1,1-1,5-1,2-0,1-1,5-1,1-1,2-0,1-1,3-3,4-2,4-2,,2-0,2-0,1-1,2-0,2-0,4-2
18,Phoenix Suns,0-2,0-2,1-1,1-1,3-2,1-4,0-2,4-2,1-4,2-0,3-2,2-4,1-5,1-1,1-1,2-0,0-2,,3-3,1-4,5-1,3-2,1-1
19,Portland Trail Blazers,2-0,1-1,1-1,1-1,1-4,1-4,1-1,4-2,2-3,2-0,2-3,5-1,1-5,0-2,2-0,2-0,0-2,3-3,,3-2,4-2,3-2,1-1
20,San Antonio Spurs,2-0,0-2,1-1,1-1,2-4,3-3,1-1,4-1,2-4,1-1,4-2,3-2,2-3,0-2,2-0,1-1,1-1,4-1,2-3,,4-1,1-5,0-2
21,Seattle SuperSonics,1-1,1-1,0-2,1-1,0-5,2-3,1-1,3-3,2-3,2-0,2-3,4-2,3-3,0-2,0-2,0-2,0-2,1-5,2-4,1-4,,3-2,2-0
22,Utah Jazz,0-2,0-2,2-0,1-1,5-1,2-4,2-0,4-1,3-3,0-2,4-2,2-3,1-4,0-2,2-0,1-1,0-2,2-3,2-3,5-1,2-3,,1-1
23,Washington Bullets,3-3,1-5,2-3,3-3,1-1,0-2,3-3,1-1,2-0,4-1,1-1,1-1,1-1,2-4,2-4,6-0,2-4,1-1,1-1,2-0,0-2,1-1,
