Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,NJN,NYK,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,3-1,4-1,4-2,4-2,1-1,0-2,1-5,1-1,1-1,5-1,2-0,1-1,1-1,6-0,4-1,2-2,2-2,1-1,1-1,2-0,1-1,1-1,1-1,3-1
2,Boston Celtics,1-3,,6-0,1-3,1-4,1-1,1-1,1-3,1-1,1-1,2-3,2-0,1-1,2-0,2-2,5-1,3-3,3-3,0-2,1-1,2-0,2-0,0-2,1-1,2-4
3,Charlotte Hornets,1-4,0-6,,1-4,0-4,0-2,0-2,0-4,0-2,0-2,2-2,2-0,0-2,1-1,0-4,2-4,2-4,3-3,0-2,0-2,1-1,2-0,1-1,1-1,1-5
4,Chicago Bulls,2-4,3-1,4-1,,0-6,2-0,1-1,0-6,1-1,1-1,4-2,1-1,2-0,2-0,6-0,2-2,3-2,1-3,1-1,2-0,2-0,2-0,2-0,0-2,3-1
5,Cleveland Cavaliers,2-4,4-1,4-0,6-0,,2-0,2-0,3-3,1-1,1-1,5-1,1-1,0-2,2-0,3-3,4-0,2-2,3-2,2-0,2-0,2-0,2-0,1-1,1-1,2-2
6,Dallas Mavericks,1-1,1-1,2-0,0-2,0-2,,3-3,0-2,1-3,1-5,1-1,3-1,0-4,6-0,0-2,1-1,0-2,1-1,1-3,2-2,2-2,5-1,2-2,4-2,1-1
7,Denver Nuggets,2-0,1-1,2-0,1-1,0-2,3-3,,1-1,3-1,4-2,1-1,2-2,1-3,5-1,0-2,1-1,1-1,1-1,1-3,2-2,3-1,3-3,2-2,3-3,1-1
8,Detroit Pistons,5-1,3-1,4-0,6-0,3-3,2-0,1-1,,1-1,1-1,4-2,2-0,2-0,2-0,2-4,4-0,0-4,5-0,2-0,1-1,2-0,2-0,2-0,2-0,5-0
9,Golden State Warriors,1-1,1-1,2-0,1-1,1-1,3-1,1-3,1-1,,1-3,1-1,5-1,2-3,4-0,0-2,2-0,2-0,1-1,2-4,2-4,2-3,3-1,2-4,2-2,1-1
10,Houston Rockets,1-1,1-1,2-0,1-1,1-1,5-1,2-4,1-1,3-1,,2-0,2-2,1-3,4-2,1-1,2-0,0-2,0-2,1-3,3-1,2-2,6-0,2-2,2-4,0-2
11,Indiana Pacers,1-5,3-2,2-2,2-4,1-5,1-1,1-1,2-4,1-1,0-2,,1-1,0-2,1-1,2-4,1-3,0-5,0-4,1-1,2-0,1-1,2-0,1-1,1-1,1-3
12,Los Angeles Clippers,0-2,0-2,0-2,1-1,1-1,1-3,2-2,0-2,1-5,2-2,1-1,,1-5,1-3,0-2,1-1,0-2,0-2,1-5,1-5,2-3,3-1,1-4,1-3,0-2
13,Los Angeles Lakers,1-1,1-1,2-0,0-2,2-0,4-0,3-1,0-2,3-2,3-1,2-0,5-1,,4-0,1-1,1-1,1-1,2-0,3-3,5-0,5-1,3-1,4-2,1-3,1-1
14,Miami Heat,1-1,0-2,1-1,0-2,0-2,0-6,1-5,0-2,0-4,2-4,1-1,3-1,0-4,,0-2,1-1,1-1,0-2,0-4,0-4,1-3,2-4,0-4,1-5,0-2
15,Milwaukee Bucks,0-6,2-2,4-0,0-6,3-3,2-0,2-0,4-2,2-0,1-1,4-2,2-0,1-1,2-0,,4-1,1-3,3-1,1-1,2-0,2-0,1-1,1-1,1-1,4-1
16,New Jersey Nets,1-4,1-5,4-2,2-2,0-4,1-1,1-1,0-4,0-2,0-2,3-1,1-1,1-1,1-1,1-4,,2-4,1-5,1-1,0-2,1-1,1-1,2-0,0-2,1-5
17,New York Knicks,2-2,3-3,4-2,2-3,2-2,2-0,1-1,4-0,0-2,2-0,5-0,2-0,1-1,1-1,3-1,4-2,,2-4,1-1,2-0,1-1,1-1,1-1,1-1,5-1
18,Philadelphia 76ers,2-2,3-3,3-3,3-1,2-3,1-1,1-1,0-5,1-1,2-0,4-0,2-0,0-2,2-0,1-3,5-1,4-2,,0-2,1-1,2-0,1-1,1-1,1-1,4-2
19,Phoenix Suns,1-1,2-0,2-0,1-1,0-2,3-1,3-1,0-2,4-2,3-1,1-1,5-1,3-3,4-0,1-1,1-1,1-1,2-0,,2-3,5-1,3-1,4-1,2-2,2-0
20,Portland Trail Blazers,1-1,1-1,2-0,0-2,0-2,2-2,2-2,1-1,4-2,1-3,0-2,5-1,0-5,4-0,0-2,2-0,0-2,1-1,3-2,,3-3,4-0,2-4,0-4,1-1
21,Sacramento Kings,0-2,0-2,1-1,0-2,0-2,2-2,1-3,0-2,3-2,2-2,1-1,3-2,1-5,3-1,0-2,1-1,1-1,0-2,1-5,3-3,,2-2,1-5,1-3,0-2
22,San Antonio Spurs,1-1,0-2,0-2,0-2,0-2,1-5,3-3,0-2,1-3,0-6,0-2,1-3,1-3,4-2,1-1,1-1,1-1,1-1,1-3,0-4,2-2,,0-4,1-5,1-1
23,Seattle SuperSonics,1-1,2-0,1-1,0-2,1-1,2-2,2-2,0-2,4-2,2-2,1-1,4-1,2-4,4-0,1-1,0-2,1-1,1-1,1-4,4-2,5-1,4-0,,3-1,1-1
24,Utah Jazz,1-1,1-1,1-1,2-0,1-1,2-4,3-3,0-2,2-2,4-2,1-1,3-1,3-1,5-1,1-1,2-0,1-1,1-1,2-2,4-0,3-1,5-1,1-3,,2-0
25,Washington Bullets,1-3,4-2,5-1,1-3,2-2,1-1,1-1,0-5,1-1,2-0,3-1,2-0,1-1,2-0,1-4,5-1,1-5,2-4,0-2,1-1,2-0,1-1,1-1,0-2,
