Rk,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1,Atlanta Hawks,,3-1,1-4,1-4,3-2,2-0,1-1,0-5,1-1,1-1,4-1,2-0,1-1,4-0,2-3,1-1,3-1,3-1,1-1,0-4,0-2,1-1,2-0,2-0,1-1,1-1,2-2
2,Boston Celtics,1-3,,3-1,2-2,3-1,2-0,2-0,2-2,1-1,2-0,2-2,2-0,1-1,4-1,2-2,2-0,4-1,5-0,1-1,2-3,1-1,1-1,2-0,1-1,2-0,1-1,5-1
3,Charlotte Hornets,4-1,1-3,,0-5,1-4,1-1,0-2,1-4,1-1,0-2,0-5,1-1,0-2,2-2,2-3,1-1,2-2,0-4,2-0,2-2,0-2,0-2,2-0,1-1,0-2,0-2,2-2
4,Chicago Bulls,4-1,2-2,5-0,,5-0,2-0,2-0,3-2,1-1,0-2,4-1,2-0,1-1,4-0,4-1,2-0,3-1,4-0,2-0,1-3,1-1,0-2,2-0,0-2,2-0,2-0,3-1
5,Cleveland Cavaliers,2-3,1-3,4-1,0-5,,2-0,1-1,2-3,0-2,0-2,1-4,1-1,1-1,3-1,2-3,1-1,2-2,3-1,2-0,2-2,0-2,0-2,1-1,0-2,1-1,0-2,1-3
6,Dallas Mavericks,0-2,0-2,1-1,0-2,0-2,,3-1,0-2,2-2,1-3,2-0,1-3,2-2,0-2,1-1,1-4,2-0,2-0,1-4,1-1,0-4,1-3,2-2,1-4,2-2,0-5,2-0
7,Denver Nuggets,1-1,0-2,2-0,0-2,1-1,1-3,,0-2,1-3,0-5,0-2,0-4,0-4,0-2,1-1,3-2,1-1,1-1,2-3,0-2,0-4,0-4,3-1,1-4,0-4,1-3,1-1
8,Detroit Pistons,5-0,2-2,4-1,2-3,3-2,2-0,2-0,,1-1,2-0,3-2,2-0,0-2,3-1,2-3,2-0,3-1,1-3,2-0,2-2,0-2,1-1,2-0,0-2,1-1,0-2,3-1
9,Golden State Warriors,1-1,1-1,1-1,1-1,2-0,2-2,3-1,1-1,,2-2,1-1,3-2,2-3,2-0,1-1,3-1,1-1,2-0,2-2,2-0,1-3,2-3,2-3,2-2,3-1,1-3,0-2
10,Houston Rockets,1-1,0-2,2-0,2-0,2-0,3-1,5-0,0-2,2-2,,1-1,2-2,1-3,2-0,2-0,5-0,2-0,2-0,3-2,2-0,3-1,0-4,3-1,2-3,2-2,2-2,1-1
11,Indiana Pacers,1-4,2-2,5-0,1-4,4-1,0-2,2-0,2-3,1-1,1-1,,1-1,0-2,2-2,2-3,1-1,3-1,2-2,1-1,1-3,1-1,0-2,2-0,1-1,1-1,2-0,2-2
12,Los Angeles Clippers,0-2,0-2,1-1,0-2,1-1,3-1,4-0,0-2,2-3,2-2,1-1,,0-4,0-2,1-1,3-1,1-1,0-2,1-3,0-2,2-3,1-3,3-2,2-2,2-3,1-3,0-2
13,Los Angeles Lakers,1-1,1-1,2-0,1-1,1-1,2-2,4-0,2-0,3-2,3-1,2-0,4-0,,2-0,0-2,3-1,2-0,1-1,4-0,1-1,3-2,2-3,4-0,3-1,3-2,2-2,2-0
14,Miami Heat,0-4,1-4,2-2,0-4,1-3,2-0,2-0,1-3,0-2,0-2,2-2,2-0,0-2,,0-4,0-2,3-3,1-4,1-1,1-4,0-2,0-2,1-1,0-2,0-2,1-1,3-2
15,Milwaukee Bucks,3-2,2-2,3-2,1-4,3-2,1-1,1-1,3-2,1-1,0-2,3-2,1-1,2-0,4-0,,1-1,2-2,4-0,2-0,2-2,1-1,1-1,1-1,1-1,1-1,1-1,3-1
16,Minnesota Timberwolves,1-1,0-2,1-1,0-2,1-1,4-1,2-3,0-2,1-3,0-5,1-1,1-3,1-3,2-0,1-1,,1-1,1-1,2-2,2-0,0-4,0-4,3-1,0-4,2-2,1-4,1-1
17,New Jersey Nets,1-3,1-4,2-2,1-3,2-2,0-2,1-1,1-3,1-1,0-2,1-3,1-1,0-2,3-3,2-2,1-1,,0-5,1-1,2-3,1-1,0-2,1-1,0-2,1-1,0-2,2-3
18,New York Knicks,1-3,0-5,4-0,0-4,1-3,0-2,1-1,3-1,0-2,0-2,2-2,2-0,1-1,4-1,0-4,1-1,5-0,,0-2,5-1,0-2,0-2,2-0,1-1,1-1,2-0,3-2
19,Orlando Magic,1-1,1-1,0-2,0-2,0-2,4-1,3-2,0-2,2-2,2-3,1-1,3-1,0-4,1-1,0-2,2-2,1-1,2-0,,0-2,2-2,0-4,2-2,1-3,1-3,1-4,1-1
20,Philadelphia 76ers,4-0,3-2,2-2,3-1,2-2,1-1,2-0,2-2,0-2,0-2,3-1,2-0,1-1,4-1,2-2,0-2,3-2,1-5,2-0,,1-1,1-1,1-1,0-2,1-1,0-2,3-2
21,Phoenix Suns,2-0,1-1,2-0,1-1,2-0,4-0,4-0,2-0,3-1,1-3,1-1,3-2,2-3,2-0,1-1,4-0,1-1,2-0,2-2,1-1,,3-2,3-1,1-3,3-2,2-2,2-0
22,Portland Trail Blazers,1-1,1-1,2-0,2-0,2-0,3-1,4-0,1-1,3-2,4-0,2-0,3-1,3-2,2-0,1-1,4-0,2-0,2-0,4-0,1-1,2-3,,3-2,2-2,4-0,3-1,2-0
23,Sacramento Kings,0-2,0-2,0-2,0-2,1-1,2-2,1-3,0-2,3-2,1-3,0-2,2-3,0-4,1-1,1-1,1-3,1-1,0-2,2-2,1-1,1-3,2-3,,1-3,1-4,1-3,2-0
24,San Antonio Spurs,0-2,1-1,1-1,2-0,2-0,4-1,4-1,2-0,2-2,3-2,1-1,2-2,1-3,2-0,1-1,4-0,2-0,1-1,3-1,2-0,3-1,2-2,3-1,,3-1,2-3,2-0
25,Seattle SuperSonics,1-1,0-2,2-0,0-2,1-1,2-2,4-0,1-1,1-3,2-2,1-1,3-2,2-3,2-0,1-1,2-2,1-1,1-1,3-1,1-1,2-3,0-4,4-1,1-3,,1-3,2-0
26,Utah Jazz,1-1,1-1,2-0,0-2,2-0,5-0,3-1,2-0,3-1,2-2,0-2,3-1,2-2,1-1,1-1,4-1,2-0,0-2,4-1,2-0,2-2,1-3,3-1,3-2,3-1,,2-0
27,Washington Bullets,2-2,1-5,2-2,1-3,3-1,0-2,1-1,1-3,2-0,1-1,2-2,2-0,0-2,2-3,1-3,1-1,3-2,2-3,1-1,2-3,0-2,0-2,0-2,0-2,0-2,0-2,
