Rk,Team,ATL,BOS,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
1,Atlanta Hawks,,3-1,3-1,1-3,2-0,2-0,1-3,0-2,0-2,0-4,0-2,1-1,0-2,1-3,2-2,1-1,1-3,2-2,0-3,1-3,1-2,1-1,0-2,0-2,1-1,1-1,1-3,0-2,2-2
2,Boston Celtics,1-3,,1-2,3-1,1-1,2-0,0-3,2-0,1-1,1-3,0-2,0-2,1-1,2-2,1-3,1-1,2-2,0-4,1-3,3-1,3-1,1-1,0-2,1-1,0-2,1-1,3-1,1-1,3-1
3,Chicago Bulls,1-3,2-1,,2-2,0-2,0-2,0-4,1-1,0-2,1-3,1-1,0-2,0-2,0-4,1-3,0-2,0-3,2-2,2-2,3-1,0-4,1-1,0-2,0-2,0-2,0-2,4-0,1-1,1-3
4,Cleveland Cavaliers,3-1,1-3,2-2,,0-2,0-2,2-2,0-2,0-2,1-3,1-1,0-2,0-2,2-2,2-2,0-2,1-2,3-1,4-0,2-1,3-1,0-2,1-1,0-2,1-1,2-0,1-3,1-1,2-2
5,Dallas Mavericks,0-2,1-1,2-0,2-0,,2-2,1-1,3-1,3-1,0-2,2-2,2-2,2-2,1-1,1-1,2-2,2-0,2-0,2-0,2-0,1-1,3-1,3-1,3-1,3-1,3-1,1-1,2-2,1-1
6,Denver Nuggets,0-2,0-2,2-0,2-0,2-2,,0-2,3-1,2-2,0-2,2-2,1-3,2-2,1-1,2-0,1-3,0-2,1-1,1-1,1-1,2-0,4-0,4-0,2-2,1-3,2-2,0-2,3-1,2-0
7,Detroit Pistons,3-1,3-0,4-0,2-2,1-1,2-0,,1-1,1-1,1-3,2-0,1-1,2-0,4-0,3-1,0-2,2-2,1-3,3-1,3-1,2-2,2-0,2-0,0-2,1-1,1-1,3-1,1-1,3-0
8,Golden State Warriors,2-0,0-2,1-1,2-0,1-3,1-3,1-1,,2-2,0-2,2-2,1-3,1-3,1-1,1-1,2-2,0-2,0-2,2-0,1-1,1-1,2-2,2-2,2-2,2-2,3-1,1-1,2-2,1-1
9,Houston Rockets,2-0,1-1,2-0,2-0,1-3,2-2,1-1,2-2,,1-1,4-0,2-2,1-3,1-1,2-0,2-2,1-1,2-0,2-0,2-0,2-0,1-3,3-1,0-4,0-4,1-3,1-1,2-2,2-0
10,Indiana Pacers,4-0,3-1,3-1,3-1,2-0,2-0,3-1,2-0,1-1,,2-0,1-1,1-1,3-0,1-3,1-1,3-1,2-2,3-1,3-1,4-0,2-0,1-1,0-2,1-1,2-0,4-0,2-0,2-1
11,Los Angeles Clippers,2-0,2-0,1-1,1-1,2-2,2-2,0-2,2-2,0-4,0-2,,1-3,0-4,0-2,2-0,0-4,0-2,1-1,1-1,2-0,1-1,3-1,2-2,0-4,1-3,0-4,1-1,1-3,0-2
12,Los Angeles Lakers,1-1,2-0,2-0,2-0,2-2,3-1,1-1,3-1,2-2,1-1,3-1,,2-2,2-0,2-0,1-3,2-0,1-1,2-0,2-0,1-1,3-1,2-2,1-3,3-1,3-1,2-0,3-1,2-0
13,Memphis Grizzlies,2-0,1-1,2-0,2-0,2-2,2-2,0-2,3-1,3-1,1-1,4-0,2-2,,1-1,1-1,1-3,2-0,1-1,1-1,2-0,2-0,2-2,2-2,2-2,3-1,1-3,2-0,1-3,2-0
14,Miami Heat,3-1,2-2,4-0,2-2,1-1,1-1,0-4,1-1,1-1,0-3,2-0,0-2,1-1,,1-2,0-2,3-2,3-1,1-3,4-0,1-3,1-1,0-2,1-1,0-2,2-0,2-1,1-1,4-0
15,Milwaukee Bucks,2-2,3-1,3-1,2-2,1-1,0-2,1-3,1-1,0-2,3-1,0-2,0-2,1-1,2-1,,0-2,3-1,1-3,2-2,3-1,2-1,1-1,1-1,1-1,1-1,0-2,3-1,1-1,3-1
16,Minnesota Timberwolves,1-1,1-1,2-0,2-0,2-2,3-1,2-0,2-2,2-2,1-1,4-0,3-1,3-1,2-0,2-0,,1-1,2-0,1-1,2-0,1-1,4-0,1-3,3-1,2-2,3-1,2-0,2-2,2-0
