Rk,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS
1,Atlanta Hawks,,1-3,1-3,0-4,0-4,1-1,0-2,1-3,0-2,1-1,0-3,0-2,1-1,0-2,0-4,1-2,1-1,0-3,1-1,1-3,1-3,1-3,0-2,0-2,0-2,0-2,0-2,1-2,0-2,0-4
2,Boston Celtics,3-1,,4-0,2-2,1-2,0-2,0-2,1-3,1-1,1-1,1-2,2-0,1-1,1-1,1-2,3-1,1-1,1-3,2-0,3-1,3-0,1-3,1-1,1-1,0-2,0-2,2-0,3-1,2-0,3-1
3,Charlotte Bobcats,3-1,0-4,,0-4,0-4,0-2,1-1,2-1,0-2,2-0,0-3,0-2,0-2,0-2,1-3,0-4,1-1,0-4,1-1,1-3,3-1,0-3,0-2,0-2,1-1,0-2,0-2,1-2,1-1,0-4
4,Chicago Bulls,4-0,2-2,4-0,,2-2,1-1,1-1,2-2,1-1,0-2,2-2,0-2,1-1,2-0,1-3,2-2,2-0,0-4,1-1,4-0,3-0,2-1,0-2,2-0,1-1,0-2,1-1,3-0,2-0,1-2
5,Cleveland Cavaliers,4-0,2-1,4-0,2-2,,1-1,1-1,2-2,2-0,0-2,1-3,1-1,1-1,2-0,0-3,2-2,1-1,1-3,2-0,1-3,3-1,0-3,1-1,2-0,0-2,0-2,0-2,3-1,2-0,1-2
6,Dallas Mavericks,1-1,2-0,2-0,1-1,1-1,,2-1,1-1,3-1,2-2,1-1,1-2,2-2,4-0,2-0,2-0,2-2,2-0,4-0,2-0,1-1,1-1,1-2,4-0,3-1,1-3,3-1,2-0,3-0,2-0
7,Denver Nuggets,2-0,2-0,1-1,1-1,1-1,1-2,,1-1,2-2,1-2,2-0,2-1,2-2,4-0,1-1,2-0,2-2,1-1,4-0,1-1,1-1,1-1,0-4,3-1,1-2,2-2,2-2,2-0,2-2,2-0
8,Detroit Pistons,3-1,3-1,1-2,2-2,2-2,1-1,1-1,,2-0,2-0,2-2,2-0,2-0,0-2,2-1,2-2,1-1,2-1,2-0,3-0,3-1,3-1,1-1,1-1,1-1,1-1,1-1,3-1,1-1,4-0
9,Golden State Warriors,2-0,1-1,2-0,1-1,0-2,1-3,2-2,0-2,,1-2,1-1,0-4,1-3,1-3,0-2,2-0,1-2,0-2,2-2,1-1,1-1,1-1,2-2,2-2,3-1,0-3,2-2,1-1,2-1,1-1
10,Houston Rockets,1-1,1-1,0-2,2-0,2-0,2-2,2-1,0-2,2-1,,1-1,3-0,2-2,3-1,1-1,1-1,1-2,2-0,3-1,1-1,2-0,2-0,2-2,4-0,2-2,2-2,3-1,1-1,2-2,1-1
11,Indiana Pacers,3-0,2-1,3-0,2-2,3-1,1-1,0-2,2-2,1-1,1-1,,0-2,1-1,2-0,3-1,2-2,2-0,2-2,1-1,2-2,1-3,0-4,1-1,2-0,0-2,1-1,0-2,2-1,2-0,2-2
12,Los Angeles Clippers,2-0,0-2,2-0,2-0,1-1,2-1,1-2,0-2,4-0,0-3,2-0,,2-2,1-3,1-1,1-1,1-3,1-1,3-1,1-1,1-1,1-1,0-4,2-2,0-4,0-4,2-1,1-1,2-2,1-1
13,Los Angeles Lakers,1-1,1-1,2-0,1-1,1-1,2-2,2-2,0-2,3-1,2-2,1-1,2-2,,0-3,0-2,2-0,2-1,1-1,3-0,1-1,1-1,0-2,0-4,2-1,1-3,0-4,1-3,1-1,1-3,0-2
14,Memphis Grizzlies,2-0,1-1,2-0,0-2,0-2,0-4,0-4,2-0,3-1,1-3,0-2,3-1,3-0,,1-1,2-0,3-1,2-0,3-1,1-1,1-1,2-0,2-2,3-1,0-3,3-1,0-3,2-0,3-0,0-2
15,Miami Heat,4-0,2-1,3-1,3-1,3-0,0-2,1-1,1-2,2-0,1-1,1-3,1-1,2-0,1-1,,4-0,1-1,3-0,2-0,4-0,4-0,2-2,1-1,1-1,2-0,1-1,0-2,3-1,2-0,4-0
16,Milwaukee Bucks,2-1,1-3,4-0,2-2,2-2,0-2,0-2,2-2,0-2,1-1,2-2,1-1,0-2,0-2,0-4,,1-1,2-1,1-1,2-1,2-1,0-4,0-2,0-2,0-2,0-2,1-1,2-2,1-1,1-3
17,Minnesota Timberwolves,1-1,1-1,1-1,0-2,1-1,2-2,2-2,1-1,2-1,2-1,0-2,3-1,1-2,1-3,1-1,1-1,,2-0,4-0,1-1,1-1,2-0,1-3,4-0,3-1,1-2,1-3,0-2,3-1,1-1
18,New Jersey Nets,3-0,3-1,4-0,4-0,3-1,0-2,1-1,1-2,2-0,0-2,2-2,1-1,1-1,0-2,0-3,1-2,0-2,,2-0,3-1,1-3,3-1,0-2,1-1,1-1,0-2,0-2,2-2,2-0,1-3
19,New Orleans Hornets,1-1,0-2,1-1,1-1,0-2,0-4,0-4,0-2,2-2,1-3,1-1,1-3,0-3,1-3,0-2,1-1,0-4,0-2,,1-1,0-2,1-1,0-4,2-1,1-2,0-4,0-3,0-2,2-2,1-1
20,New York Knicks,3-1,1-3,3-1,0-4,3-1,0-2,1-1,0-3,1-1,1-1,2-2,1-1,1-1,1-1,0-4,1-2,1-1,1-3,1-1,,1-2,3-1,0-2,1-1,0-2,1-1,0-2,1-3,2-0,2-1
21,Orlando Magic,3-1,0-3,1-3,0-3,1-3,1-1,1-1,1-3,1-1,0-2,3-1,1-1,1-1,1-1,0-4,1-2,1-1,3-1,2-0,2-1,,2-2,0-2,1-1,1-1,1-1,1-1,2-2,2-0,2-2
22,Philadelphia 76ers,3-1,3-1,3-0,1-2,3-0,1-1,1-1,1-3,1-1,0-2,4-0,1-1,2-0,0-2,2-2,4-0,0-2,1-3,1-1,1-3,2-2,,0-2,1-1,0-2,0-2,1-1,3-1,1-1,2-1
23,Phoenix Suns,2-0,1-1,2-0,2-0,1-1,2-1,4-0,1-1,2-2,2-2,1-1,4-0,4-0,2-2,1-1,2-0,3-1,2-0,4-0,2-0,2-0,2-0,,3-0,2-2,1-2,2-1,2-0,3-1,1-1
24,Portland Trail Blazers,2-0,1-1,2-0,0-2,0-2,0-4,1-3,1-1,2-2,0-4,0-2,2-2,1-2,1-3,1-1,2-0,0-4,1-1,1-2,1-1,1-1,1-1,0-3,,1-3,1-2,1-3,1-1,2-2,0-2
25,Sacramento Kings,2-0,2-0,1-1,1-1,2-0,1-3,2-1,1-1,1-3,2-2,2-0,4-0,3-1,3-0,0-2,2-0,1-3,1-1,2-1,2-0,1-1,2-0,2-2,3-1,,1-3,1-3,1-1,2-1,2-0
26,San Antonio Spurs,2-0,2-0,2-0,2-0,2-0,3-1,2-2,1-1,3-0,2-2,1-1,4-0,4-0,1-3,1-1,2-0,2-1,2-0,4-0,1-1,1-1,2-0,2-1,2-1,3-1,,2-2,1-1,2-2,1-1
27,Seattle SuperSonics,2-0,0-2,2-0,1-1,2-0,1-3,2-2,1-1,2-2,1-3,2-0,1-2,3-1,3-0,2-0,1-1,3-1,2-0,3-0,2-0,1-1,1-1,1-2,3-1,3-1,2-2,,2-0,3-1,0-2
28,Toronto Raptors,2-1,1-3,2-1,0-3,1-3,0-2,0-2,1-3,1-1,1-1,1-2,1-1,1-1,0-2,1-3,2-2,2-0,2-2,2-0,3-1,2-2,1-3,0-2,1-1,1-1,1-1,0-2,,2-0,1-3
29,Utah Jazz,2-0,0-2,1-1,0-2,0-2,0-3,2-2,1-1,1-2,2-2,0-2,2-2,3-1,0-3,0-2,1-1,1-3,0-2,2-2,0-2,0-2,1-1,1-3,2-2,1-2,2-2,1-3,0-2,,0-2
30,Washington Wizards,4-0,1-3,4-0,2-1,2-1,0-2,0-2,0-4,1-1,1-1,2-2,1-1,2-0,2-0,0-4,3-1,1-1,3-1,1-1,1-2,2-2,1-2,1-1,2-0,0-2,1-1,2-0,3-1,2-0,
