Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,SG,21,21,721,28.5,.618,.296,.387,2.9,13.9,8.4,32.4,2.5,2.9,10.0,33.2,2.6,1.5,4.1,.272,7.8,2.5,10.4,2.3,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,19,19,662,32.1,.634,.036,.550,7.0,28.6,18.2,39.1,0.7,3.5,11.9,36.8,2.6,0.9,3.5,.256,6.9,2.4,9.3,1.9,,antetgi01
3,De'Aaron Fox,27,SAC,PG,22,22,829,20.7,.592,.310,.312,3.4,11.9,7.7,26.1,2.2,0.5,13.5,30.7,1.4,0.7,2.1,.121,2.9,-1.3,1.6,0.7,,foxde01
4,Jayson Tatum,26,BOS,PF,21,21,764,23.6,.604,.525,.383,1.5,25.2,13.2,25.5,1.8,1.4,11.1,31.5,2.0,1.2,3.2,.202,5.4,1.0,6.4,1.6,,tatumja01
5,Franz Wagner,23,ORL,SF,24,24,791,23.0,.573,.327,.284,3.2,17.0,9.8,32.2,2.6,1.4,10.1,30.9,1.7,1.5,3.2,.195,4.3,1.8,6.1,1.6,,wagnefr01
6,Anthony Davis,31,LAL,C,21,21,739,27.5,.609,.113,.488,8.0,28.5,18.3,16.8,1.7,4.9,7.8,29.8,2.3,0.9,3.1,.205,5.2,0.4,5.6,1.4,,davisan02
7,LaMelo Ball,23,CHO,PG,18,18,614,21.7,.564,.526,.234,2.9,14.8,8.6,42.6,1.6,0.7,14.1,39.6,1.0,0.5,1.5,.116,5.9,-0.6,5.4,1.1,,ballla01
8,Anthony Edwards,23,MIN,SG,21,21,765,18.8,.584,.517,.221,2.1,14.9,8.6,18.0,1.9,1.4,11.6,30.6,0.7,1.1,1.9,.118,3.2,0.1,3.3,1.0,,edwaran01
9,Jalen Brunson,28,NYK,PG,21,21,716,22.6,.613,.340,.357,1.7,8.0,5.0,34.2,0.9,0.1,10.2,29.5,2.7,0.3,3.0,.201,5.1,-2.2,2.9,0.9,,brunsja01
10,James Harden,35,LAC,PG,24,24,814,19.7,.556,.514,.442,1.9,20.4,11.1,39.1,2.3,2.0,18.4,30.3,0.9,1.4,2.3,.136,3.2,1.3,4.6,1.4,,hardeja01
