Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Giannis Antetokounmpo,30,MIL,PF,19,19,34.8,12.7,20.7,.616,0.2,0.7,.214,12.6,19.9,.631,.620,6.9,11.4,.611,2.2,9.5,11.6,6.6,0.5,1.3,3.5,2.6,32.6,,antetgi01
2,LaMelo Ball,23,CHO,PG,18,18,34.1,10.7,24.9,.430,4.7,13.1,.356,6.1,11.8,.512,.523,4.9,5.8,.848,0.9,4.4,5.4,6.9,1.1,0.2,4.5,4.1,31.1,,ballla01
3,Nikola Jokić,29,DEN,C,16,16,37.6,11.3,20.1,.564,2.3,4.3,.522,9.1,15.8,.575,.620,5.3,6.4,.816,4.0,9.0,13.0,10.4,1.7,0.9,3.8,1.8,30.1,,jokicni01
4,Shai Gilgeous-Alexander,26,OKC,SG,21,21,34.3,10.4,20.6,.507,2.1,6.1,.344,8.3,14.5,.576,.558,6.8,8.0,.856,1.0,4.5,5.5,6.5,1.8,1.0,2.7,2.0,29.8,,gilgesh01
5,Luka Dončić,25,DAL,PG,16,16,36.9,10.3,22.7,.452,3.4,9.9,.342,6.9,12.8,.537,.526,5.3,7.0,.750,0.7,7.2,7.9,7.8,1.8,0.4,3.3,2.8,29.1,,doncilu01
6,Paolo Banchero,22,ORL,PF,5,5,36.4,9.6,19.4,.495,2.2,6.4,.344,7.4,13.0,.569,.552,7.6,11.8,.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,,banchpa01
7,Jayson Tatum,26,BOS,PF,21,21,36.4,9.1,20.1,.454,4.0,10.6,.374,5.2,9.6,.542,.552,6.2,7.7,.802,0.5,8.1,8.6,5.6,1.3,0.6,3.0,2.4,28.4,,tatumja01
8,De'Aaron Fox,27,SAC,PG,22,22,37.7,10.0,20.2,.492,2.2,6.3,.355,7.7,14.0,.554,.547,5.1,6.3,.806,1.1,4.0,5.0,6.0,1.7,0.2,3.6,2.6,27.2,,foxde01
9,Anthony Davis,31,LAL,C,21,21,35.2,9.6,18.1,.530,0.7,2.0,.349,8.9,16.1,.553,.550,6.9,8.9,.780,2.5,8.8,11.3,3.4,1.2,1.9,1.9,2.0,26.9,,davisan02
10,Anthony Edwards,23,MIN,SG,21,21,36.4,9.0,20.4,.443,4.5,10.6,.423,4.6,9.9,.464,.552,3.6,4.5,.800,0.7,4.8,5.5,3.7,1.4,0.6,3.0,2.0,26.2,,edwaran01
11,Damian Lillard,34,MIL,PG,18,18,35.8,8.0,17.7,.451,3.5,9.3,.377,4.5,8.4,.533,.550,6.4,7.0,.921,0.6,3.9,4.4,7.5,0.9,0.2,2.9,1.8,25.9,,lillada01
12,Kevin Durant,36,PHO,PF,13,13,35.7,9.2,17.2,.536,2.7,6.0,.449,6.5,11.2,.582,.614,4.6,5.8,.800,0.2,6.5,6.7,3.1,0.5,1.5,3.3,1.7,25.8,,duranke01
13,Jaylen Brown,28,BOS,SF,17,17,36.3,8.5,19.8,.432,2.6,7.8,.333,5.9,12.0,.495,.497,5.5,7.2,.764,1.5,4.8,6.4,4.6,1.2,0.4,2.5,2.6,25.2,,brownja02
14,Jalen Brunson,28,NYK,PG,21,21,34.1,8.7,17.8,.488,2.5,6.0,.409,6.2,11.7,.528,.558,5.4,6.3,.850,0.5,2.4,2.9,7.7,0.6,0.0,2.3,2.5,25.2,,brunsja01
15,Karl-Anthony Towns,29,NYK,C,20,20,33.5,9.0,17.1,.528,2.4,5.2,.452,6.7,11.9,.561,.597,4.8,5.5,.864,2.9,10.2,13.1,3.1,0.8,0.9,2.3,3.3,25.1,,townska01
16,Devin Booker,28,PHO,SG,20,20,36.9,8.1,18.2,.445,2.7,7.8,.348,5.4,10.5,.517,.519,6.1,6.8,.896,1.2,2.7,3.8,6.6,1.1,0.5,2.3,2.3,25.0,,bookede01
17,Tyrese Maxey,24,PHI,PG,14,14,36.4,8.8,21.5,.409,2.9,9.4,.305,5.9,12.1,.488,.475,4.4,5.1,.861,0.2,3.0,3.2,4.8,2.0,0.4,1.9,2.5,24.9,,maxeyty01
18,Cam Thomas,23,BRK,SG,17,17,33.4,8.1,17.5,.461,2.9,7.4,.389,5.2,10.1,.515,.544,5.7,6.6,.866,0.4,2.9,3.2,3.4,0.7,0.1,2.8,2.0,24.7,,thomaca02
