Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1-1,1-0,0-2,2-0,2-0,0-1,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,1-0,0-1,0-0,0-0,0-0,0-1,1-1,0-0,0-0,0-0,1-2
2,Boston Celtics,1-1,,2-0,1-0,2-0,1-1,0-0,0-0,2-0,0-1,0-0,0-1,1-0,0-0,0-0,1-0,2-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0
3,Brooklyn Nets,0-1,0-2,,1-1,1-0,0-1,0-0,0-1,0-1,1-0,0-0,1-0,0-0,0-0,2-0,0-0,1-0,0-0,1-0,0-2,0-0,0-3,0-1,1-0,0-0,1-0,0-0,0-0,0-0,0-0
4,Chicago Bulls,2-0,0-1,1-1,,0-0,0-2,0-1,0-0,1-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,1-1,0-1,0-1,1-0,0-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0
5,Charlotte Hornets,0-2,0-2,0-1,0-0,,0-1,0-0,0-0,2-0,0-0,1-0,1-0,0-0,0-0,0-0,0-2,1-1,0-1,0-0,0-1,0-0,0-2,0-2,0-0,0-0,0-0,0-0,1-0,0-0,0-0
6,Cleveland Cavaliers,0-2,1-1,1-0,2-0,1-0,,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,2-0,0-0,2-0,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,2-0
7,Dallas Mavericks,1-0,0-0,0-0,1-0,0-0,0-0,,1-1,0-0,0-1,0-1,0-1,0-0,0-0,1-0,0-1,0-0,1-0,1-0,1-0,1-0,1-0,0-0,0-2,1-0,0-0,2-0,0-0,2-1,0-0
8,Denver Nuggets,0-0,0-0,1-0,0-0,0-0,0-0,1-1,,0-0,1-0,0-0,0-0,0-2,1-0,1-1,1-0,0-0,0-1,0-1,0-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,2-0,0-0
9,Detroit Pistons,1-0,0-2,1-0,0-1,0-2,0-1,0-0,0-0,,0-0,0-1,1-1,0-0,1-0,0-1,1-1,0-2,0-0,0-0,0-1,0-0,0-1,1-1,0-0,0-0,0-0,0-0,2-0,0-0,1-0
10,Golden State Warriors,1-0,1-0,0-1,0-0,0-0,0-1,1-0,0-1,0-0,,1-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,3-0,0-0,1-1,0-0,0-0,0-1,1-0,0-0,0-1,0-0,1-0,1-0
11,Houston Rockets,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-0,1-0,0-1,,1-0,2-0,0-0,1-0,0-0,0-1,1-0,0-0,1-0,1-1,0-0,1-0,0-0,1-1,0-1,2-1,0-0,0-0,1-0
12,Indiana Pacers,0-0,1-0,0-1,0-0,0-1,0-0,1-0,0-0,1-1,0-0,0-1,,0-0,0-0,0-1,1-1,0-1,0-0,1-1,1-1,0-0,1-2,0-1,0-0,1-0,0-0,0-0,0-2,0-0,1-0
13,Los Angeles Clippers,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-0,0-0,2-0,0-2,0-0,,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-2,1-0,2-0,0-2,1-1,2-0,1-0,1-0,1-0,1-0
